1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice,1stFlrSF_transformed,BsmtUnfSF_transformed,GarageArea_transformed,GrLivArea_transformed
961,406,4,1,241,3,229,384,1,1978,1367,1,8405,50,0,130,8,5,861,1900,1950,119000,-0.4452403595871327,-0.6163818145847572,-0.36945633591436655,-0.16412333044321845
803,557,2,1,0,1,803,297,2,1951,1360,0,7200,60,0,65,6,5,803,1938,1995,125500,-1.0165989059927356,0.6687165970125579,-0.7929331403904429,-0.17957977341017142
848,0,1,0,697,6,151,420,2,2004,848,0,4426,69,147,0,5,6,848,2004,2004,149300,-0.8431961477197604,-0.8986035044813594,-0.19944015529264011,-1.579934221131891
1482,780,3,2,871,6,611,749,3,2003,2262,0,12244,85,226,0,5,8,1482,2003,2003,305000,0.9341595632043085,0.3198766125415121,1.257655368228746,1.3773264011337791
1220,0,2,1,836,2,0,396,1,1951,1220,1,8877,67,0,0,5,4,836,1951,1951,102000,0.3144063262327547,-2.0737247781600754,-0.3124795967164812,-0.505441737396526
1414,0,2,1,0,1,1375,398,3,2004,1414,0,3072,69,18,20,5,7,1375,2004,2004,178740,0.7844901706976434,1.5036623107035814,-0.30301373590779446,-0.06222180987416824
1134,924,3,1,319,3,416,396,1,1950,2058,1,9600,60,0,0,5,6,735,1917,1950,129500,0.08163751479637328,-0.09983956224921547,-0.3124795967164812,1.084219009063067
1088,110,4,1,0,4,901,0,2,1979,1198,1,5586,60,0,98,7,6,901,1920,1998,79900,-0.0501969782328986,0.829901690522699,-2.586456954841601,-0.5598035073992598
1659,0,2,1,1158,6,343,499,3,2000,1659,2,5664,40,0,59,5,8,1501,2000,2000,278000,1.2937610538365136,-0.28317757369103536,0.16489748861020953,0.42249342506966514
1012,0,2,1,0,1,1012,308,1,1920,1012,1,8263,59,0,22,5,6,1012,1920,1950,118400,-0.2806859375515382,1.001754925497017,-0.7382755362338784,-1.0608021339408362
1687,998,5,1,523,6,301,672,3,1970,3082,1,15863,102,0,63,3,7,824,1920,1970,197000,1.347117711843665,-0.3980270157062998,0.9292593811233975,2.3491758264009817
1032,0,4,1,0,1,360,672,1,1999,1812,0,7630,76,0,0,9,5,360,1900,1996,140000,-0.2184002442438732,-0.23879089785379543,0.9292593811233975,0.6922387409532493
1057,872,3,1,738,4,319,650,3,2001,1929,0,7050,69,0,235,5,7,1057,2001,2001,226000,-0.14221316927588393,-0.34784346911305963,0.8342189904500703,0.8844978373001745
954,0,3,0,483,5,428,576,1,1976,954,1,10780,55,0,0,5,5,911,1976,1976,132500,-0.4685027590218372,-0.07136071909420132,0.5101525264829357,-1.2347615505822327
1838,0,2,0,1260,6,578,765,2,2006,1838,2,14601,85,584,68,5,9,1838,2006,2006,315000,1.6204561690735357,0.25439091594420554,1.3251160475942987,0.7359464493617609
1640,0,3,1,728,4,568,924,1,1993,1640,0,14778,69,72,0,7,6,1296,1954,2006,224000,1.2570410388175801,0.23416302339266656,1.982696947068342,0.38738481318103696
1148,0,3,1,1148,4,0,672,1,1959,1148,1,7931,70,0,0,5,5,1148,1959,1959,132500,0.12070466218287337,-2.0737247781600754,0.9292593811233975,-0.6869099766592994
950,0,3,1,412,4,251,280,1,1981,950,1,9758,61,0,0,5,5,950,1971,1971,119500,-0.48187203518318444,-0.5462778409766659,-0.8781244043593215,-1.2471204371512925
1065,846,3,1,380,4,397,471,2,1993,1911,0,9554,80,125,81,5,8,777,1993,1994,215000,-0.11821213803402264,-0.1458228095136115,0.03703741232022357,0.8556418464531207
915,720,3,1,300,3,765,440,1,1950,1635,1,8737,70,0,38,7,6,1065,1923,1950,210000,-0.6013041833791808,0.6034624366197674,-0.10612307232829499,0.3780824699067278
1316,0,3,0,0,4,1316,440,3,2007,1316,0,11175,103,0,20,5,7,1316,2007,2007,200141,0.5556630407127279,1.4272739824010248,-0.10612307232829499,-0.27847323022722476
1442,0,2,1,0,1,1442,615,2,1970,1442,1,11717,69,571,0,6,6,1442,1970,1970,185000,0.8469695941876472,1.5883580080637003,0.6818171815874042,-0.0030103393684378843
1078,0,3,1,734,6,344,500,3,1971,1078,1,12537,69,0,0,6,5,1078,1971,2008,149900,-0.07959102036074908,-0.2805352370449422,0.16943976280693235,-0.8738451796109362
1120,0,3,1,932,5,108,544,2,1961,1120,3,6970,85,0,0,5,4,1040,1961,1961,129000,0.04208674692263615,-1.0881337427886517,0.3677414979792268,-0.7603697734619791
779,640,3,1,353,6,55,527,3,2002,1419,0,7750,69,0,0,5,8,408,2002,2002,184100,-1.113081837409722,-1.3882818207894403,0.2914785502959736,-0.05156835921288997
707,682,3,1,0,1,651,240,1,1947,1389,1,3378,60,0,0,8,7,651,1946,1992,135000,-1.4213710206822563,0.3968223763289224,-1.0823728085988626,-0.11602337800344781
1063,0,3,1,354,3,412,280,2,1954,1063,1,9920,80,110,0,5,5,1056,1954,1954,128000,-0.12419551113794987,-0.10942762124394848,-0.8781244043593215,-0.9153762845616169
1792,0,2,2,1567,6,225,874,3,2003,1792,2,11846,72,562,49,5,9,1792,2003,2004,374000,1.5396335416845304,-0.6294998208161362,1.778273628863993,0.6582163421818523
1216,0,2,1,897,6,319,402,1,1998,1216,1,4500,32,116,125,5,6,1216,1998,1998,164000,0.3039476994841012,-0.34784346911305963,-0.28410749311096106,-0.515257136663029
998,764,4,1,0,1,596,576,1,1989,1762,0,7200,60,0,0,7,7,596,1920,1950,157000,-0.3250200773578281,0.2903455645803252,0.5101525264829357,0.6065107500192214
847,1112,4,0,0,1,847,434,3,2004,1959,0,11796,59,0,48,5,7,847,2004,2005,215000,-0.8469489639169859,0.7422886080354143,-0.134036904507968,0.9320360000572503
1208,0,3,1,767,5,441,546,2,1977,1208,1,11250,69,0,42,6,6,1208,1977,1977,165000,0.2829271930154695,-0.04097522589587455,0.376685319332762,-0.5349788594969218
874,650,3,1,460,4,414,315,1,1958,1524,1,11344,78,180,0,5,5,874,1958,1958,144000,-0.7471398622048927,-0.10462754587750678,-0.7036755697270957,0.16440562259816807
796,358,3,1,735,4,61,240,1,1922,1154,0,5436,40,0,96,8,4,796,1922,2007,125500,-1.0444397778065955,-1.348346028725807,-1.0823728085988626,-0.6713868100186442
1048,0,3,3,0,0,0,420,1,1950,1048,1,7200,60,0,27,5,5,0,1950,1950,98300,-0.16943165235069646,-2.0737247781600754,-0.19944015529264011,-0.9574590860570186
886,0,2,1,0,1,190,273,1,1938,886,1,5784,50,0,20,8,5,190,1938,1996,91300,-0.7037624602069544,-0.7498926671790898,-0.9134697526974488,-1.4517771041127154
943,0,2,2,943,6,0,600,1,1979,943,1,7032,69,0,0,5,5,943,1979,1979,135960,-0.5054037960008394,-2.0737247781600754,0.6160299778698668,-1.2688660411727926
866,902,3,1,400,6,466,603,2,2005,1768,0,9803,75,0,108,5,7,866,2005,2005,226700,-0.7763890291313849,0.01617100317071513,0.6292107653416356,0.6169174121976736
1422,1177,4,1,0,1,1393,779,3,1999,2599,0,14774,108,165,30,5,9,1393,1999,1999,333168,0.8024663827155843,1.5266245618614493,1.3839369040232898,1.811259209152995
912,0,2,1,456,3,456,275,2,1958,912,1,10150,70,1,0,5,5,912,1958,1958,114500,-0.611752144842814,-0.006490595516407613,-0.9033547224531092,-1.3670192262814096
882,0,2,3,0,0,0,308,1,1956,882,1,12702,70,0,45,5,5,0,1956,1956,97000,-0.7181562143616816,-2.0737247781600754,-0.7382755362338784,-1.4650227239230735
1337,0,2,1,266,6,1139,511,3,1998,1337,0,4060,34,0,68,5,6,1405,1998,1999,181000,0.6060952514491529,1.186689913535302,0.21929826479872835,-0.23089444363438935
2076,0,2,2,1386,6,690,850,2,2006,2076,2,13891,107,0,229,5,10,2076,2006,2006,465000,2.0088305543211415,0.46949997447818614,1.679410566236608,1.111150544845774
1328,1203,4,0,56,2,1198,752,2,1995,2531,0,12257,65,513,98,5,8,1318,1995,1995,290000,0.5845788102768754,1.268927270451501,1.2703237584206948,1.7281198187570643
981,787,3,1,569,5,162,240,1,1939,1768,0,7200,60,252,0,7,5,731,1937,1950,175000,-0.37969507674870856,-0.8548162979754031,-1.0823728085988626,0.6169174121976736
1625,0,2,2,1573,4,0,538,2,2006,1625,0,4750,44,481,0,5,8,1573,2006,2007,235000,1.227750761999117,-2.0737247781600754,0.34087458549131266,0.3593976765305821
1444,700,4,2,697,3,747,389,3,1958,2144,0,159000,69,472,98,7,6,1444,1958,2006,277000,0.8513860310483381,0.5719612515564488,-0.34567785817568586,1.2109580423111714
1521,0,3,1,0,1,1237,880,1,1988,2775,0,13500,75,0,502,9,10,1237,1893,2000,325000,1.0169401290607252,1.322129601359776,1.8029129370290649,2.0173440970351675
1140,728,3,1,0,1,585,477,3,1984,1868,1,12090,78,74,112,7,6,585,1984,2003,178000,0.09843910476205323,0.2684418502816804,0.06454801153476517,0.7856653749549442
1525,0,3,0,1400,6,125,541,2,2000,1525,0,9100,70,244,36,5,7,1525,2000,2000,235000,1.0253105111140863,-1.0092059474997197,0.3543147123875309,0.16639478789856316
1571,0,3,2,0,4,1571,722,3,2007,1571,0,10991,89,80,36,5,8,1571,2007,2007,239000,1.1200272159725977,1.7458183484195609,1.1432253081996961,0.2566023931254365
796,0,2,1,0,1,796,0,0,1979,796,1,8777,67,0,0,7,5,796,1910,1950,85000,-1.0444397778065955,0.6568193714759842,-2.586456954841601,-1.7642962034146448
1378,994,4,1,0,1,994,432,2,1985,2372,1,6600,60,0,287,4,5,994,1892,1965,107500,0.7023223353029766,0.9745818317927087,-0.14335683072138755,1.5252578753260002
802,670,3,1,0,1,384,402,2,1991,1472,0,10784,69,76,0,5,7,384,1991,1992,160000,-1.0205613374847082,-0.1779504103573153,-0.28410749311096106,0.05924882284379283
960,0,0,0,648,6,0,364,1,1965,960,1,10246,69,0,0,9,4,648,1965,2001,145000,-0.4485532032411501,-2.0737247781600754,-0.46513374514254124,-1.2163137711952658
734,1104,4,0,0,1,732,372,3,2005,1838,1,21930,60,0,40,5,5,732,2005,2005,192140,-1.302245714849124,0.5454058768345449,-0.4267526672758425,0.7359464493617609
1309,0,3,1,663,5,0,484,2,1974,1309,0,10140,78,99,0,6,6,1040,1974,1999,181000,0.538673906743905,-2.0737247781600754,0.0965655501049995,-0.2944907295196203
2069,574,3,0,0,1,2153,694,3,2006,2643,2,13693,105,772,84,5,9,2153,2006,2006,380000,1.9980556876226645,2.383631760224342,1.0237438508204832,1.8639774127681354
676,455,3,1,0,1,676,200,1,1941,1131,1,5720,52,0,0,6,5,676,1941,1950,66500,-1.5638641691920852,0.443663743132566,-1.2928269992666124,-0.7313079170674185
960,1000,4,1,0,1,960,400,1,1952,1960,1,7596,60,360,0,5,5,960,1952,1952,124500,-0.4485532032411501,0.9225436680321265,-0.2935563847176952,0.9336088476528689
1144,0,3,1,25,4,247,336,1,1962,1144,1,9204,71,0,88,5,5,1144,1963,1963,124000,0.1095912788809293,-0.5587784106534132,-0.6006853919326773,-0.6973009630909638
1056,0,0,1,1056,6,0,576,1,1980,1056,1,6979,64,0,56,5,6,1056,1980,1980,144000,-0.1452260174732443,-2.0737247781600754,0.5101525264829357,-0.9349453491158839
693,0,2,1,0,4,693,0,0,1979,693,3,4118,153,0,20,4,4,693,1941,1950,52500,-1.4849360093632835,0.47500056673020297,-2.586456954841601,-2.1653529570374137
1494,0,3,2,1200,6,279,576,2,1997,1494,0,9236,79,0,27,5,6,1479,1997,1997,217000,0.95985953681341,-0.46153873334952733,0.5101525264829357,0.10415568842469206
1646,0,2,2,1373,6,221,482,3,2004,1646,0,3842,44,174,53,5,8,1594,2004,2005,275000,1.268682445589428,-0.64273991291064,0.08742619376494522,0.3985126687283542
864,0,3,0,390,5,474,352,1,1989,864,1,7180,60,0,0,7,5,864,1972,1972,127000,-0.7837433813661019,0.03411803772506147,-0.5229901981952253,-1.5253317580593002
1566,0,3,0,1078,6,488,750,2,2008,1566,0,9000,75,36,168,5,8,1566,2008,2008,262500,1.1098667819596197,0.06514872803080092,1.2618791734487305,0.2469177833141047
735,660,3,1,593,4,130,497,1,1972,1395,1,12936,69,0,116,6,6,723,1972,1972,162000,-1.297917934747495,-0.9870683948460875,0.15580804546002663,-0.1030288868315543
848,0,2,1,152,4,628,539,1,1962,1208,1,6240,52,0,23,5,4,780,1925,1950,103000,-0.8431961477197604,0.3528908025071501,0.34535611554428536,-0.5349788594969218
939,574,4,4,0,1,939,180,1,1933,1513,1,6120,51,0,0,8,5,939,1920,2004,137500,-0.5189287813966187,0.889919854842652,-1.4008240950197401,0.142443855703614
959,408,3,1,425,2,459,560,2,1978,1367,1,6240,52,0,0,6,6,884,1931,1950,127500,-0.4518694870104712,0.0003348992715594971,0.4391292297651594,-0.16412333044321845
955,0,3,1,763,4,192,386,1,1966,955,1,7742,66,0,0,7,5,955,1966,1966,127000,-0.46516916680580395,-0.7427164504449028,-0.35993833524566005,-1.2316794002835831
1077,0,3,1,0,1,1007,210,1,1922,1077,1,9786,60,0,100,4,3,1007,1922,1950,91000,-0.08254535486938756,0.9942323679701759,-1.2395600501599056,-0.8765970550678552
1056,0,3,4,1056,3,0,572,3,1955,1056,1,34650,100,0,0,5,5,1056,1955,1955,145000,-0.1452260174732443,-2.0737247781600754,0.4924302053256897,-0.9349453491158839
756,797,3,1,0,1,756,615,2,2005,1553,0,8125,65,0,45,5,7,756,2005,2006,186500,-1.2083644347235785,0.5877608478341867,0.6818171815874042,0.22160177763160785
1614,0,3,0,20,6,1594,865,2,2005,1614,0,11210,86,240,59,5,7,1614,2005,2006,221500,1.2060994305024022,1.773172747692514,1.7412577133852865,0.33871976167738777
2042,0,3,1,0,4,2042,1390,2,2009,2042,2,12704,98,306,90,5,8,2042,2008,2009,253293,1.9561522677682879,2.269696816861403,3.80626507950316,1.0600942136350022
1073,0,2,1,0,1,1073,326,2,1968,1073,1,5400,60,0,0,6,5,1073,1921,1968,108480,-0.0943900908536265,1.092009696032617,-0.6495801634148312,-0.887628504791265
1072,213,2,1,336,4,295,240,1,1948,1285,1,8635,50,0,0,5,5,672,1948,2001,127000,-0.09735814981426531,-0.41510125808941095,-1.0823728085988626,-0.350022786739798
2117,0,4,4,865,4,340,550,3,1970,2117,1,12925,69,0,42,7,6,1205,1970,1970,237500,2.071222157440777,-0.2911287941271342,0.39455539050970134,1.1716880643841228
605,0,2,4,348,4,180,0,2,1979,605,1,9098,58,0,0,7,4,528,1920,2002,86000,-1.9163952004665779,-0.7863783095665988,-2.586456954841601,-2.554892751283334
1150,0,3,1,179,5,465,300,2,1959,1150,1,7945,70,0,0,6,5,1150,1959,1959,141000,0.1262468915329198,0.01391634525761473,-0.7779911537105838,-0.6817271744522682
728,728,3,1,0,1,728,400,2,2005,1456,0,8029,51,0,24,5,6,728,2005,2005,176000,-1.328336371182484,0.5382765168886732,-0.2935563847176952,0.02619322607976075
999,0,3,0,867,5,77,588,2,1961,999,2,12122,69,210,76,9,7,944,1961,2007,178400,-0.3218328637455355,-1.2508287784670369,0.5631880193113078,-1.0989670465749362
750,750,3,1,0,1,750,564,2,2005,1500,0,8846,68,0,35,5,6,750,2005,2006,173900,-1.2336957662759431,0.5772387834940285,0.45691874267344623,0.11629565818828531
1336,0,2,4,841,4,324,375,1,1953,1336,1,15750,90,56,0,5,5,1165,1953,1953,157000,0.6037116759174186,-0.3341674132307039,-0.4123979717749753,-0.23314419814140802
864,729,3,1,759,6,80,398,2,2004,1593,1,7415,62,0,75,5,6,839,2004,2004,193000,-0.7837433813661019,-1.2337514515477546,-0.30301373590779446,0.2988750138228297
1130,1054,3,0,936,6,168,836,3,2008,2184,2,11308,96,154,102,5,9,1104,2008,2008,335000,0.07038716689508198,-0.8315831995974083,1.6215098811491495,1.2682935325111815
1560,0,3,1,0,1,1560,573,3,2003,1560,0,9196,129,0,150,5,7,1560,2003,2003,201000,1.0976314916074055,1.7326617670010438,0.4968628608547037,0.23525799783754284
888,0,3,1,386,2,342,312,1,1942,1644,0,9480,79,224,0,7,5,728,1942,1995,146500,-0.6965898429702032,-0.2858239334769965,-0.7184871090661704,0.3948076057139664
630,0,3,0,515,6,115,286,1,1970,630,0,1526,21,0,0,8,4,630,1970,2002,86000,-1.7877743189161561,-1.0549048180064822,-0.8479540400816902,-2.4391072991092226
1113,0,3,1,751,4,392,504,2,1987,1113,1,7917,69,174,30,7,6,1143,1976,1976,148000,0.022126229337035116,-0.15811362887057026,0.18759263308126026,-0.7790029827886942
1071,1101,3,1,0,1,1063,947,2,2006,2172,0,14154,109,350,62,5,7,1063,2006,2006,280000,-0.10032896900159094,1.077401228199794,2.0760612606141584,1.2511967517142368
796,550,2,1,0,1,560,384,1,1950,1346,1,11767,70,0,24,7,4,560,1910,2000,112000,-1.0444397778065955,0.21784636498239035,-0.36945633591436655,-0.21071718020947744
1184,1426,4,0,64,6,1120,550,3,2007,2610,2,9000,75,0,364,5,8,1184,2007,2007,303477,0.21902304920463672,1.1597344340430378,0.39455539050970134,1.8245166035394917
1026,932,3,1,0,1,1026,936,3,2005,1958,0,10625,85,0,210,5,7,1026,2005,2005,250000,-0.23695875429961846,1.0227152999463551,2.0314600839347787,0.930462401147418
1468,0,3,1,0,1,1468,898,3,2008,1468,0,9612,74,72,150,5,8,1468,2008,2009,244600,0.9039128065209919,1.6206693048572502,1.876651275130814,0.05101654816054144
1302,432,4,3,0,0,0,539,1,1977,1734,0,10125,75,0,0,5,5,0,1977,1977,126000,0.5215939846851361,-2.0737247781600754,0.34535611554428536,0.5575037181310991
768,432,3,1,352,4,416,240,1,1946,1200,1,11767,70,0,0,6,5,768,1946,1995,130500,-1.1582970566857604,-0.09983956224921547,-1.0823728085988626,-0.5548231133772593
1112,438,2,1,812,6,280,438,3,2007,1550,0,8125,65,100,168,5,7,1092,2006,2007,241000,0.019264519234564004,-0.45859633262854776,-0.1154200665729663,0.2157314776591754
954,795,5,1,0,1,795,440,1,1997,2230,1,6204,60,0,188,5,4,795,1912,1950,118500,-0.4685027590218372,0.6551153102960982,-0.10612307232829499,1.3330271183964695
1166,0,3,1,0,1,1064,240,1,1936,1639,1,10480,51,0,0,5,6,1064,1936,1950,115000,0.17024200526081795,1.0788652995533785,-1.0823728085988626,0.3855264689291272
864,0,3,1,521,4,169,624,2,1964,864,1,9100,70,0,0,5,5,864,1958,1958,129900,-0.7837433813661019,-0.8277532328299867,0.7211512985490222,-1.5253317580593002
1621,0,3,4,213,5,995,440,2,1984,1621,0,14145,91,0,45,7,7,1208,1984,1998,202500,1.2198945007200912,0.9760981643325802,-0.10612307232829499,0.3518936270082887
483,504,3,1,162,5,321,264,1,1972,987,0,1680,21,510,0,8,6,483,1972,2007,118000,-2.631367446342191,-0.34235971972194984,-0.9591531129474066,-1.1346106538938332
1238,1281,4,2,965,6,245,628,2,1989,2519,0,26178,42,293,27,5,7,1210,1989,1990,335000,0.36105112703341113,-0.5650682722741421,0.7386004453864801,1.713231568473026
765,600,3,1,765,2,0,440,1,1970,1365,1,2368,24,312,36,6,5,765,1970,1970,125000,-1.1707404629623832,-2.0737247781600754,-0.10612307232829499,-0.1685318888887429
1149,1141,4,4,0,1,1128,779,1,2002,2290,0,11250,69,0,0,5,8,1128,2002,2002,255900,0.12347697855950626,1.171113028289012,1.3839369040232898,1.4156098973353235
1249,1347,4,0,0,1,1249,840,2,2006,2596,0,16259,111,370,154,5,9,1249,2006,2006,342643,0.38922470181624885,1.3383225626376665,1.6380705433436187,1.8076344444913164
907,0,3,1,288,3,619,352,1,1964,907,1,8593,77,0,0,6,4,907,1957,1957,109008,-0.629241742685916,0.3354716961920811,-0.5229901981952253,-1.3831418300559988
855,0,3,1,566,5,289,440,2,1976,1456,1,2280,24,0,0,6,6,855,1976,1976,148500,-0.8170492311131416,-0.4323576167008764,-0.10612307232829499,0.02619322607976075
1190,0,3,0,803,5,303,540,2,1962,1190,1,7728,70,120,18,6,5,1106,1962,1962,132500,0.2351192969500776,-0.3923751160911214,0.34983615676127267,-0.5798031578282618
858,0,2,1,322,5,536,684,1,1979,858,1,7340,69,0,0,6,4,858,1971,1971,110000,-0.8059086315088194,0.1681520498620169,0.9808639246006463,-1.5456960280345033
2223,0,3,2,1880,5,343,516,3,1973,2223,1,13651,95,1115,0,6,7,2223,1973,1973,244000,2.2271060914666934,-0.28317757369103536,0.24189751017112582,1.3232574095930005
1005,0,2,1,0,1,1005,672,1,1977,1005,3,10434,60,0,0,5,4,1005,1955,1955,115000,-0.3027760852320301,0.9912178780019012,0.9292593811233975,-1.0812951185183026
1086,809,3,1,0,1,712,409,3,1994,1895,0,10832,69,0,46,5,7,712,1994,1996,194500,-0.05605418971976414,0.5095523109763576,-0.251102281914914,0.8297778069588099
1040,0,3,1,906,3,134,384,1,1965,1040,1,11200,70,0,0,5,5,1040,1965,1965,129500,-0.1938221119436536,-0.9696748829813343,-0.36945633591436655,-0.9801341126834022
1264,0,3,1,697,3,571,461,1,1960,1264,1,9300,73,324,0,5,5,1268,1960,1960,167500,0.4272472726538067,0.24025079143279296,-0.008953658764460509,-0.3994149308736408
874,887,3,1,0,1,874,578,3,2007,1761,0,10207,84,0,105,6,7,874,2007,2007,227875,-0.7471398622048927,0.7864489400221801,0.5190054143810383,0.6047730840636687
1034,0,3,0,539,6,473,888,1,1976,1034,1,12328,69,335,0,5,6,1012,1976,1976,169900,-0.21223795862691053,0.03188335518937491,1.835718582152741,-0.9972476757602158
1363,0,2,2,226,2,96,439,1,1954,1363,1,39104,73,0,0,7,7,1385,1954,2005,241500,0.6674524291279127,-1.1478087610953716,-0.11077062165112261,-0.17294649323552896
1689,0,3,1,0,1,1436,480,1,1956,1689,1,9855,73,0,0,5,6,1436,1956,1956,127500,1.3508950548225547,1.5808583837983785,0.07828004464793212,0.47716953399642337
2113,0,2,2,1696,6,413,839,3,1995,2113,0,10437,91,660,46,6,8,2109,1995,1995,350000,2.0651884416469217,-0.10702606653676423,1.6339317052818003,1.165830478938935
1573,0,3,1,788,6,785,544,2,2002,1573,0,9808,67,110,72,5,7,1573,2002,2002,227000,1.1240823671988553,0.6380126990111203,0.3677414979792268,0.2604681659318525
2364,0,3,2,2188,6,142,820,3,2009,2364,2,12919,100,760,67,5,9,2330,2009,2010,611657,2.423351287605328,-0.9356792830101563,1.555124358403772,1.5147179523118375
1057,977,3,1,739,6,318,645,2,1998,2034,0,9375,69,573,36,5,7,1057,1997,1998,219500,-0.14221316927588393,-0.35059207072637955,0.8125391020211298,1.0479654215737513
1291,0,2,4,1003,6,288,431,1,1996,1291,0,2887,69,0,0,5,6,1291,1996,1997,173000,0.49456832322511335,-0.43525178309009416,-0.14801968889555714,-0.33604939848204296
858,0,2,2,696,4,162,0,0,1979,858,1,7207,50,0,0,7,5,858,1958,2008,116500,-0.8059086315088194,-0.8548162979754031,-2.586456954841601,-1.5456960280345033
698,560,2,4,204,3,356,280,1,1939,1258,1,9060,60,0,0,5,6,560,1939,1950,105000,-1.462088595431142,-0.24913466776578183,-0.8781244043593215,-0.41366795953066665
438,0,1,1,290,3,0,246,1,1930,438,3,8400,60,0,0,5,2,290,1920,1950,60000,-2.9416131147886784,-2.0737247781600754,-1.0513693266271813,-3.4675986544568924
672,728,3,1,209,5,463,440,3,1978,1400,1,7844,74,203,0,7,6,672,1978,1978,149500,-1.5827227239263113,0.009399420234452243,-0.10612307232829499,-0.09224001650367764
