1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice,1stFlrSF_transformed,BsmtUnfSF_transformed,GarageArea_transformed,GrLivArea_transformed
1352,0,2,No,0,1,1352,466,2,2006,1352,Gd,4230,47,0,241,5,7,1352,2006,2007,208900,0.6518408013001141,1.425735420689441,0.056104324462266174,-0.1007776448159586
1680,0,4,No,0,1,1680,528,1,1976,1680,TA,11500,70,164,0,6,5,1680,1976,1976,136905,1.249813620646705,1.7950437470726632,0.30333341259559105,0.529094245201205
1005,978,3,No,694,6,284,490,3,1999,1983,Gd,10762,70,344,0,5,7,978,1999,1999,225000,-0.2366955328873949,-0.3862527217515206,0.15264969890330438,0.9937876053329884
900,0,3,Av,769,5,95,288,2,1967,900,TA,7838,68,0,144,5,5,864,1967,1967,123000,-0.5899695237890856,-1.0760217866485002,-0.7019403996256177,-1.3484735298254107
1082,0,2,No,336,4,746,240,1,1948,1082,TA,11664,60,206,130,5,6,1082,1948,1950,119200,-0.007390064632811233,0.5818562635187082,-0.9232214904147927,-0.7726020585929229
1314,0,3,No,922,3,392,294,2,1957,1314,TA,8400,70,0,0,6,5,1314,1957,1957,145000,0.5701419122869169,-0.1088968088218617,-0.6748999579494116,-0.18527376051481495
1061,862,3,No,674,6,76,564,2,1992,1923,Gd,10186,107,0,39,5,7,750,1992,1992,190000,-0.06772765186780282,-1.179098297406682,0.44380717833195005,0.9087181606034801
990,0,3,No,588,4,402,0,0,1984,990,TA,8070,60,0,0,5,4,990,1994,1995,123600,-0.2840896036302948,-0.0854656241821321,-2.375018883870174,-1.0481023832774317
1228,0,3,No,0,1,1228,271,1,1966,1228,Gd,8544,70,0,65,6,5,1228,1966,2006,149350,0.37307387933361597,1.2733950444730846,-0.7792680063802447,-0.3876196322613623
916,0,4,No,299,5,611,164,1,1915,1826,Ex,2500,50,0,0,8,7,910,1915,2005,155000,-0.5326937689975362,0.34569693736306445,-1.2961703715930946,0.7643507428851454
910,0,4,No,507,3,403,720,1,2000,1385,TA,8520,71,0,0,4,5,910,1952,1952,166000,-0.5540153987232038,-0.08314014383378177,1.0307206666936848,-0.029638483102969633
848,0,1,Gd,662,6,186,420,3,2004,848,Gd,4438,70,169,0,5,6,848,2004,2004,144500,-0.7858729455663149,-0.6940767572173603,-0.13221114507836484,-1.5386292335760172
816,0,2,Gd,104,2,0,516,1,1963,816,TA,8472,110,0,0,5,5,816,1963,1963,110000,-0.9145410046676098,-2.0256819886670034,0.2560260853796722,-1.6626078622205491
702,779,3,No,0,1,702,343,3,1994,1481,TA,8125,65,0,36,5,6,702,1994,1995,174000,-1.4337637696977195,0.5076707439435076,-0.4585273532614517,0.16646405421077506
943,933,4,No,442,5,459,540,2,1974,1876,Gd,9120,76,270,69,6,6,901,1974,1974,185000,-0.438991744950669,0.04237288335381949,0.3503949661092772,0.8398657241259377
916,826,4,No,216,4,700,424,1,1925,1742,Gd,17671,121,0,169,9,8,916,1882,1986,168000,-0.5326937689975362,0.5042389154161062,-0.11565477614415685,0.6318316922458465
769,804,3,No,378,6,378,440,1,2000,1573,Gd,2117,70,216,32,5,6,756,2000,2000,177500,-1.1161814747439966,-0.1422572220410109,-0.04978264093968122,0.3408255970662142
630,0,1,Av,131,4,0,0,2,1984,630,TA,1936,21,0,0,6,4,630,1970,1970,84500,-1.8232792865854455,-2.0256819886670034,-2.375018883870174,-2.5187372990068404
1698,0,3,No,1234,6,464,768,2,2007,1698,Ex,13286,86,340,64,5,9,1698,2007,2008,320000,1.278069474495611,0.05316109740788703,1.2051935544743264,0.5593756654401717
832,384,2,No,442,3,390,336,1,1947,1216,TA,8480,80,0,0,5,5,832,1947,1950,118500,-0.8493856384512618,-0.11362218409478245,-0.4889809389550907,-0.4171781784102264
1776,0,4,No,0,1,1584,888,1,1968,1776,TA,11475,85,95,25,5,5,1584,1958,1958,110000,1.3960659402497033,1.6913981967352445,1.6308909282052124,0.6863590165793159
1006,769,3,No,513,5,227,425,2,1993,1775,Gd,9317,75,137,72,5,7,740,1993,1993,213000,-0.23356935789375427,-0.5565307692077663,-0.11152128429320576,0.6847728817765774
912,0,2,Av,773,6,115,470,2,1978,912,TA,7540,70,0,0,6,6,888,1978,1978,156000,-0.546887498491989,-0.9790212938495114,0.0722728905872222,-1.3064260403509498
1145,0,4,Av,655,6,490,836,2,2000,2198,Gd,14260,84,350,84,5,8,1145,2000,2000,250000,0.164674258432258,0.10825935798142171,1.4481539480613723,1.2754246695748126
2046,0,3,Mn,0,1,2046,834,3,2008,2046,Gd,11844,80,464,82,5,8,2046,2008,2008,372500,1.7566964978017208,2.162969885401131,1.4410744237319884,1.0799063273529663
729,717,3,Gd,604,6,125,406,1,1996,1446,TA,21872,57,0,22,5,7,729,1996,1997,175000,-1.3011299600739497,-0.9339659253070194,-0.19044599876435508,0.09674972535738954
1561,0,2,No,1153,6,408,556,3,2005,1561,Ex,7313,60,246,47,5,9,1561,2005,2005,277500,1.0523144766913286,-0.07155986656643709,0.4127729008084015,0.31877364780654627
882,0,3,No,138,2,276,461,1,1980,882,TA,7700,70,0,0,5,5,882,1972,1972,112500,-0.6560430612318112,-0.40894480253350074,0.0358488182560775,-1.4127986724427555
912,1182,4,No,0,1,912,615,3,2003,2094,Gd,9375,75,0,182,5,7,912,2003,2004,263000,-0.546887498491989,0.8420463546727601,0.6393530811677712,1.1434495322188083
1500,0,3,Av,1032,6,431,712,2,1994,2622,Gd,12256,98,362,32,5,8,1463,1994,1995,325000,0.9431450625996615,-0.019266324251886287,1.0013863490498291,1.7461624646532425
2158,0,4,Av,477,5,725,576,1,1950,2158,Gd,12615,84,0,29,7,6,1202,1950,2001,243000,1.8882155154157523,0.5467576712165315,0.49017026525439555,1.2255534243322386
1360,0,3,No,384,5,0,572,1,1962,1360,TA,7134,60,0,50,5,5,384,1955,1955,130000,0.6686524561104802,-2.0256819886670034,0.47474072464194733,-0.08334536024149806
1310,0,3,Av,24,6,1286,400,3,2005,1310,Gd,8767,65,0,0,5,7,1310,2005,2005,164990,0.5613596224779992,1.345652915296697,-0.21554402659953595,-0.19433526424685774
1836,0,3,Mn,1039,6,797,862,3,2004,1836,Gd,11362,107,42,185,5,8,1836,2004,2005,280000,1.4822443898269917,0.6649021115296975,1.5398384992117458,0.7796471726702123
1490,1304,4,No,689,4,773,810,3,1995,2794,Ex,15138,174,506,146,5,8,1462,1995,1996,403000,0.9246853920418685,0.6261963183361007,1.355813036557535,1.9121274475491108
1728,0,6,No,40,6,1424,352,1,2002,1728,TA,10624,70,84,0,4,5,1728,1964,1964,119000,1.3242892006689022,1.5106890467230596,-0.419580848231538,0.6090136102964129
825,0,2,No,180,2,0,720,2,1963,825,TA,8235,49,0,50,7,5,825,1955,1995,125000,-0.8776846215481457,-2.0256819886670034,1.0307206666936848,-1.627167814461652
894,0,3,Av,182,2,0,308,1,1976,894,TA,10650,75,0,0,6,5,894,1976,1976,128200,-0.6117976185455462,-2.0256819886670034,-0.6122902454717731,-1.36974561620091
918,765,3,No,226,2,192,440,2,1978,1683,TA,11184,70,92,0,5,6,918,1978,1978,172500,-0.5256277297649219,-0.6729791738634339,-0.04978264093968122,0.5341676230270016
930,0,2,None,0,4,0,308,1,1946,930,Gd,11100,60,0,0,7,4,0,1946,2006,84900,-0.48365655607182195,-2.0256819886670034,-0.6122902454717731,-1.244561422245859
1572,1096,3,Av,1016,6,556,726,3,2003,2668,Ex,13688,110,664,0,5,9,1572,2003,2004,412500,1.071398264532631,0.24130564034239543,1.0526723685274144,1.7917788154005232
1073,0,3,No,836,5,237,515,2,1965,1073,TA,10289,79,168,0,7,5,1073,1965,1965,156000,-0.033056936583340066,-0.5250926257130137,0.25207249626547784,-0.7983132661820406
1334,0,2,No,686,5,664,630,2,1977,1334,TA,9650,80,360,16,5,6,1350,1977,1977,167900,0.613526737236287,0.4415223683437495,0.6961483665107097,-0.14044857090891968
788,0,2,No,266,3,522,0,0,1984,788,TA,7446,70,0,0,5,4,788,1941,1950,100000,-1.032746823160835,0.17391745933025593,-2.375018883870174,-1.7758800270552662
1644,0,2,Gd,1518,6,0,569,3,1989,1644,Gd,12800,70,145,0,5,7,1518,1989,1989,275000,1.1920763988792888,-2.0256819886670034,0.46315233843546966,0.4673681187069974
872,0,3,No,0,1,858,480,1,1974,872,TA,8294,70,0,0,5,4,858,1971,1971,123000,-0.6935293175025632,0.7604914322734778,0.1125572193963111,-1.4492065446670543
768,664,2,No,0,1,264,360,1,1910,1432,TA,9600,60,0,0,7,5,264,1910,2002,132000,-1.1206484501347527,-0.44366818348746184,-0.3851528104348698,0.0683052397852446
901,900,3,No,0,1,893,800,2,2005,1801,Gd,10463,72,0,116,5,8,893,2005,2005,239900,-0.5863502913223997,0.813660845191331,1.320117093182231,0.7256738059396527
1121,0,3,No,651,3,470,480,1,1963,1121,TA,8816,80,0,80,6,5,1121,1963,1963,139000,0.10064269246385295,0.0660232363805236,0.1125572193963111,-0.6640269287293932
789,0,2,No,104,5,516,250,1,1948,789,TA,6000,50,0,0,5,5,789,1948,1950,115000,-1.0284296370272856,0.16177813568097865,-0.8763442579898425,-1.7717534498027236
1054,0,3,Gd,763,6,173,480,2,1963,1054,Gd,8800,80,156,0,7,6,936,1963,1963,137500,-0.08819365685065325,-0.7411005632322248,0.1125572193963111,-0.853436565560806
1048,0,3,No,586,4,462,286,1,1956,1048,TA,10152,72,120,20,5,5,1048,1956,1956,135000,-0.10588014590939648,0.04885349027777843,-0.7109824307728052,-0.8710874959208899
1236,0,2,No,360,4,710,447,1,1957,1236,Gd,10011,72,64,0,6,5,1070,1957,1996,134450,0.39216937692428044,0.5213447387450717,-0.02113688012920885,-0.36810233343806487
1152,0,3,Av,1014,6,138,484,2,1964,1152,TA,14112,70,86,0,7,5,1152,1964,1964,180500,0.18301515685162,-0.8782360707239444,0.12861695972424012,-0.580850203573775
1679,0,3,No,1138,6,270,575,2,1994,1679,Gd,8125,65,258,42,5,6,1408,1994,1998,193500,1.2482320670746165,-0.42620097887789277,0.4863151888595995,0.5274007466626255
1478,0,3,No,189,5,628,442,2,1957,1478,TA,8400,70,0,0,3,6,1478,1957,1957,156500,0.902315347061853,0.3769128961024432,-0.04158755415560083,0.16056496068440856
928,0,2,No,377,3,551,252,1,1956,928,TA,13300,70,0,0,7,5,928,1956,2000,132000,-0.49060165722021115,0.23154006267926855,-0.8670207149028616,-1.251365335733321
846,846,3,Av,0,1,846,650,2,2009,1692,Gd,13159,83,0,114,5,7,846,2009,2009,224500,-0.7937246758842035,0.7419888356630316,0.7713960085349316,0.5493240541635833
661,589,3,No,0,1,661,552,1,1985,1250,TA,5362,53,0,0,6,5,661,1910,2003,139000,-1.6486767893296401,0.4362127412178771,0.3972174331995205,-0.33430254104530394
847,886,3,Gd,0,1,847,433,3,2003,1733,Gd,12394,70,0,48,5,7,847,2003,2003,225000,-0.789795733748488,0.7435361928199894,-0.07853299466865897,0.6171878512743795
716,716,3,No,425,4,291,432,3,2004,1432,Gd,7795,71,0,51,5,7,716,2004,2005,188500,-1.3641617584534529,-0.36668233828787045,-0.0826488465091427,0.0683052397852446
1077,0,2,No,851,6,140,205,2,1939,1077,TA,7420,50,0,4,6,5,991,1939,1950,118000,-0.021614275236947988,-0.8699202896349916,-1.0909904670584925,-0.7868548227969717
944,0,2,None,0,0,0,528,1,1956,944,Fa,10206,74,0,0,3,3,0,1952,1952,82000,-0.435589880765745,-2.0256819886670034,0.30333341259559105,-1.1974114639489974
1419,0,2,Av,945,4,474,567,2,2007,1419,Gd,8089,60,0,0,6,8,1419,2007,2007,392000,0.7887109516563642,0.07454809102995306,0.4554189687167627,0.04159758756208092
960,0,3,No,0,1,672,288,1,1956,960,TA,8926,70,0,0,3,4,672,1956,1956,112000,-0.381802479749562,0.4556174169608816,-0.7019403996256177,-1.1445239919870878
1646,0,3,Av,0,4,1638,870,2,2007,1646,Gd,10656,67,274,80,5,8,1638,2006,2007,248900,1.1953279379778758,1.7501096662150046,1.5679208761158114,0.47083896894170346
999,0,3,Av,784,4,141,300,1,1962,999,TA,10205,69,0,72,5,5,925,1962,1962,134500,-0.2555397228017373,-0.8657866753111071,-0.6479855054275744,-1.0198453596240815
779,0,2,No,0,1,742,308,1,1988,935,TA,9100,50,0,0,6,5,742,1930,1960,79500,-1.0719316816585147,0.5752129819143104,-0.6122902454717731,-1.2276267590323144
1392,1070,4,Mn,57,6,1335,576,2,2006,2462,Gd,19378,134,456,132,5,7,1392,2005,2006,320000,0.7346081716274354,1.4053169934032832,0.49017026525439555,1.579827959835234
1302,0,3,Gd,270,2,452,309,2,1964,1302,Gd,9350,85,108,0,7,6,1302,1964,1991,158000,0.5436877141542409,0.02716066894303622,-0.6078433526490433,-0.21255645357803235
936,0,2,Gd,936,6,0,672,1,1980,936,TA,7200,60,180,0,5,5,936,1980,1980,140000,-0.4629396826864829,-2.0256819886670034,0.8535581724607533,-1.2242526242439429
864,0,3,No,646,5,218,336,1,1978,864,TA,7000,70,90,0,8,5,864,1978,2005,136500,-0.723931705226013,-0.5854788652720586,-0.4889809389550907,-1.4786886703446922
820,527,3,Gd,969,6,148,0,0,1984,1347,TA,7000,70,0,0,7,5,1117,1910,1991,107500,-0.8980940944205124,-0.8372885005719513,-2.375018883870174,-0.11173464857804016
990,0,3,No,686,6,304,672,1,1996,990,TA,9245,57,0,0,5,5,990,1994,1995,145000,-0.2840896036302948,-0.33100920607271833,0.8535581724607533,-1.0481023832774317
1636,971,3,No,152,3,977,0,2,1984,3086,Ex,18030,138,0,0,6,5,1598,1946,1994,200500,1.1790175010438038,0.9367768717719354,-2.375018883870174,2.1680268559583604
1337,0,3,Mn,699,6,638,531,2,2003,1337,Gd,8450,65,0,39,5,7,1337,2003,2003,185000,0.6199599474954434,0.3950592263693783,0.31512157529996,-0.13379310826947655
694,0,3,No,0,1,672,936,1,1998,1214,TA,10410,60,0,0,4,3,672,1915,1950,105000,-1.4743691266999577,0.4556174169608816,1.7974023058218918,-0.42213800520671935
1368,0,2,No,0,1,1368,474,2,2005,1368,Gd,6792,40,94,35,5,7,1368,2005,2006,202665,0.6853332633989153,1.444824504858421,0.08840996012174285,-0.06603346559134407
1212,0,3,Mn,36,6,1176,460,2,2009,1212,Gd,10420,83,0,22,5,6,1212,2009,2009,186000,0.33438249983329327,1.2070032701674018,0.03179169105509545,-0.4271074668765017
1080,0,3,No,570,4,510,288,1,1958,1080,TA,9464,75,135,0,7,6,1080,1958,1958,136000,-0.013069253122527897,0.14956122689013823,-0.7019403996256177,-0.7782938363726849
804,878,3,No,505,6,299,523,2,1998,1682,Gd,8750,70,116,77,5,6,804,1998,1998,200500,-0.9645310196899086,-0.34462896594929504,0.28365229011082765,0.5324776818472476
790,784,3,Mn,712,6,84,566,3,1976,1574,TA,18800,70,120,111,5,6,796,1976,1976,190000,-1.0241197089972234,-1.1341656036815935,0.45154994008768085,0.3426543072491502
691,807,3,No,592,5,99,409,3,1995,1498,TA,13031,70,0,44,5,6,691,1995,1996,187500,-1.4897566479387516,-1.0557921633827971,-0.17792888447939728,0.19962844281915632
920,941,3,No,700,6,216,492,2,2002,1861,Gd,13450,95,0,91,5,7,916,2002,2002,200000,-0.518582102161914,-0.5920000117767706,0.16064559858600302,0.8174626312839615
1258,0,2,Av,0,1,1258,648,3,2007,1258,Gd,3922,53,72,16,5,7,1258,2006,2007,172500,0.4438464646520199,1.310998058839514,0.7638953797662162,-0.31518797851428637
1253,0,3,No,733,4,520,352,2,1960,1253,TA,10920,70,212,213,5,6,1253,1960,1960,157000,0.43220760979834744,0.16987955301448218,-0.419580848231538,-0.32711773598942334
1484,0,3,Av,712,6,761,606,2,2004,1484,Gd,8400,70,109,35,5,7,1473,2004,2005,213000,0.9135304059044623,0.6065962098808494,0.605123664119585,0.17234908581632888
1163,511,4,Mn,0,1,1163,396,3,1955,1674,TA,21780,66,0,36,7,6,1163,1918,1950,185000,0.211539515550411,1.1901549477662319,-0.23232393187090838,0.5189153901060167
864,0,3,No,191,5,673,463,1,1994,864,TA,8120,70,0,0,7,4,864,1970,1970,124500,-0.723931705226013,0.4573728173439934,0.04395703071924923,-1.4786886703446922
1128,445,3,No,0,1,1078,360,1,1930,1573,TA,6240,52,0,0,7,5,1078,1930,1992,162900,0.11950528870225381,1.0773537249417344,-0.3851528104348698,0.3408255970662142
1734,0,3,Av,1300,6,434,660,2,2005,1734,Gd,11645,78,0,24,5,7,1734,2005,2005,260000,1.3334053170408589,-0.012559183027335075,0.8088202151833734,0.618819364873816
495,1427,4,None,0,4,0,672,2,2003,1922,Gd,7301,64,500,0,5,7,0,2003,2003,198500,-2.742574354314435,-2.0256819886670034,0.8535581724607533,0.9072739394392814
1340,0,3,None,0,4,0,252,2,1957,1340,TA,9060,60,98,0,6,5,0,1957,2006,120000,0.6263740125034796,-2.0256819886670034,-0.8670207149028616,-0.12715521572307897
698,728,3,No,535,4,155,440,3,1977,1426,TA,7950,75,140,0,6,6,690,1977,1977,159500,-1.4539892294755452,-0.8095162123386872,-0.04978264093968122,0.056014279024851246
720,0,2,No,0,1,624,484,1,2005,720,TA,8520,60,0,0,8,6,624,1928,2003,105900,-1.3446065773154092,0.3696100450088792,0.12861695972424012,-2.071922792468694
1301,1116,4,No,0,1,1288,462,1,1991,2417,Gd,16059,121,284,82,5,8,1288,1991,1992,260000,0.541468585619959,1.3481123536394406,0.03990392969346574,1.5307403436217155
796,566,1,No,732,6,64,480,1,1993,1362,TA,14115,85,0,30,5,5,796,1993,1995,143000,-0.9984113713530021,-1.251601694772235,0.1125572193963111,-0.07900616018640241
951,0,2,No,285,5,666,327,1,1936,951,TA,8765,50,0,28,6,4,951,1936,1950,106500,-0.4119100668242591,0.44505481815222137,-0.528350013688065,-1.1741442839083724
783,701,3,No,0,4,783,393,3,2005,1484,Gd,10237,65,0,72,5,6,783,2005,2007,178900,-1.054442379152325,0.6424026830691298,-0.24493433844787144,0.17234908581632888
773,582,3,No,0,1,684,0,0,1984,1355,Gd,6882,60,0,0,7,6,684,1914,2006,127000,-1.0983903893701161,0.4765886152467145,-2.375018883870174,-0.09422633174082312
694,0,3,No,365,2,75,352,1,1990,694,Gd,4280,40,0,0,6,5,440,1913,2002,90350,-1.4743691266999577,-1.1848919384993555,-0.419580848231538,-2.193937911515222
1029,0,3,Mn,903,3,126,261,1,1961,1029,TA,7943,61,192,0,5,4,1029,1961,1961,118500,-0.16278659237986656,-0.9295700543959289,-0.82527167102252,-0.9277772159020659
1097,896,4,No,416,3,409,495,2,1971,1993,TA,14803,70,252,66,5,6,825,1971,1971,190000,0.0347641049223242,-0.06925315258066123,0.17262550173756347,1.007670804012938
793,325,3,Mn,507,3,286,410,1,1939,1118,TA,7800,65,0,0,7,5,793,1939,1950,119900,-1.0112332604244718,-0.3806345130419904,-0.17376119153793365,-0.6722198188580273
713,739,3,No,450,6,241,506,1,1999,1452,Gd,3735,35,218,34,5,7,691,1999,1999,183900,-1.3789235621254416,-0.5127207377015112,0.21641050499117143,0.10884106120191935
804,744,3,No,556,4,248,440,1,1976,1548,Gd,2308,24,0,0,6,6,804,1976,1976,155000,-0.9645310196899086,-0.4913371519866139,-0.04978264093968122,0.29465750888716996
2392,0,3,Gd,56,6,2336,968,3,2003,2392,Ex,13472,103,922,105,5,10,2392,2003,2003,386250,2.1358336406302336,2.429477309228348,1.907320267448963,1.5030017215198268
1040,0,3,No,824,5,216,308,3,1963,1040,TA,7500,75,0,0,5,5,1040,1963,1963,133000,-0.1296724220082814,-0.5920000117767706,-0.6122902454717731,-0.8948081097819729
1182,960,3,No,448,3,448,509,3,1968,2142,Gd,13000,100,576,72,6,6,896,1968,1968,193500,0.259974561033667,0.01840999007768197,0.22831386266842424,1.205299033271497
1088,871,3,Av,0,1,1088,1025,2,2006,1959,Gd,9000,75,0,46,5,8,1088,2006,2006,270000,0.009564194186271514,1.0908718243466329,2.101075665392931,0.9601285786456195
1080,0,3,No,680,6,400,0,0,1984,1080,Gd,7500,63,120,0,5,7,1080,2004,2005,141000,-0.013069253122527897,-0.09012610647732029,-2.375018883870174,-0.7782938363726849
703,689,2,No,0,1,689,540,1,2007,1392,Gd,3604,34,0,102,5,7,689,2007,2007,146000,-1.4287312957977403,0.4852670642631097,0.3503949661092772,-0.01480498409623891
988,0,3,No,827,3,161,572,1,1963,988,TA,9945,70,57,0,5,5,988,1961,1961,128500,-0.29048085298518506,-0.7862511870249671,0.47474072464194733,-1.0544228184848954
1098,880,4,No,552,4,280,486,2,1968,1978,TA,9900,70,342,43,5,7,832,1968,1968,176000,0.03754714260988597,-0.3975544307611641,0.1366354172876357,0.9868150332418882
1588,0,3,Av,1162,5,426,472,2,1999,1588,Gd,10264,78,183,29,5,7,1588,1999,1999,214000,1.0988420624688908,-0.030501957498456692,0.08034534192025321,0.36811342553607374
1478,0,2,Av,578,6,892,484,3,2009,1478,Gd,4403,70,432,144,5,7,1470,2009,2009,222000,0.902315347061853,0.812157738959589,0.12861695972424012,0.16056496068440856
2121,0,3,Gd,0,1,2121,732,3,2007,2121,Ex,14450,107,315,98,5,9,2121,2006,2007,415298,1.8457900538357792,2.2337825439621315,1.0745825128434054,1.1784429172313584
1301,0,2,No,0,1,1293,572,2,2006,1301,Gd,7200,60,0,121,5,7,1293,2006,2006,187750,0.541468585619959,1.3542517996829202,0.47474072464194733,-0.21484337346629087
1241,0,1,No,1106,6,135,569,2,2007,1241,Gd,4274,35,0,116,5,7,1241,2006,2007,199900,0.4040209012624257,-0.8908338545390115,0.46315233843546966,-0.35597943696583545
1523,0,3,No,644,5,549,478,3,1976,1523,TA,11361,104,160,0,5,6,1193,1976,1976,180000,0.9849887406254582,0.22762023977494272,0.10451585889055282,0.24760246252428345
1344,0,3,Gd,1309,6,35,784,3,1997,1344,TA,7060,78,200,0,5,7,1344,1997,1998,206300,0.6348964897483883,-1.4652016182505099,1.2627897867489715,-0.11833187583197297
1240,0,2,Av,0,1,1240,826,2,2006,1240,Gd,8556,74,0,93,5,7,1240,2006,2006,194000,0.40165567558720594,1.288496061712937,1.4127172673351465,-0.3583994079409303
1120,1120,6,None,0,0,0,528,1,1979,2240,TA,7018,64,0,0,5,5,0,1979,1979,142953,0.09793526607104132,-2.0256819886670034,0.30333341259559105,1.3266513033851461
1440,0,3,No,678,4,762,467,3,1981,1440,Gd,12546,70,310,0,7,6,1440,1981,1981,182900,0.829854227230166,0.6082359950412164,0.06014943684996909,0.0845991345197855
864,0,3,No,0,1,864,280,2,1972,864,TA,9353,71,0,0,5,4,864,1970,1970,116050,-0.723931705226013,0.7696895333340124,-0.7381958998205195,-1.4786886703446922
1680,0,3,No,144,2,379,583,3,1998,1680,Gd,10140,78,0,73,5,7,1650,1998,1999,213250,1.249813620646705,-0.13985212841231656,0.5171130381113274,0.529094245201205
944,545,3,No,0,1,778,240,1,1940,1489,TA,9900,60,0,0,7,6,778,1940,1950,139500,-0.435589880765745,0.6343137761028776,-0.9232214904147927,0.18212639085733856
1349,0,3,No,0,4,1349,539,1,2000,1349,TA,8450,65,108,55,5,7,1349,2000,2001,179000,0.6455023284924902,1.4221424453342595,0.3464823917929283,-0.1073461063120225
901,0,2,No,0,1,901,281,1,1954,901,TA,6000,50,0,0,7,4,901,1954,2000,107900,-0.5863502913223997,0.8256526124997164,-0.7336511279469138,-1.3449444208564043
810,0,3,No,387,5,374,484,2,1992,1603,Gd,7153,65,0,124,5,6,761,1992,1992,175900,-0.9394131066626505,-0.15191260058534398,0.12861695972424012,0.39509923377113937
1152,0,3,No,0,1,1092,300,1,1950,1152,Gd,14000,80,0,36,8,6,1092,1950,2004,158500,0.18301515685162,1.0962599780165496,-0.6479855054275744,-0.580850203573775
1072,0,2,Gd,547,6,0,525,3,2005,1072,TA,3675,35,80,28,5,5,547,2005,2005,145000,-0.03592645615200307,-2.0256819886670034,0.29152989072801594,-0.8011857398442814
2259,0,3,Mn,35,4,905,450,1,1953,2259,Gd,21000,70,184,120,5,6,1809,1953,1953,217000,1.9992686489658025,0.8316266051541783,-0.00889164413894603,1.349454732332275
1040,0,3,Mn,532,2,364,484,1,1977,1040,Gd,8800,61,0,0,7,5,1040,1977,2008,150500,-0.1296724220082814,-0.17630120826340542,0.12861695972424012,-0.8948081097819729
1258,0,0,Av,1198,4,0,400,1,1969,1258,TA,12900,60,0,0,4,4,1198,1969,1969,108959,0.4438464646520199,-2.0256819886670034,-0.21554402659953595,-0.31518797851428637
697,804,3,No,518,5,179,420,3,1993,1501,Gd,7685,70,112,63,5,6,697,1993,1994,165600,-1.4590696447638507,-0.7191658642219793,-0.13221114507836484,0.2054349465008814
1466,0,3,Av,16,6,1450,610,3,2007,1466,Gd,8925,73,0,18,5,8,1466,2007,2007,201000,0.8797027267742441,1.5407859089848124,0.620351023383758,0.13682671679854302
1053,0,3,No,806,5,247,312,2,1959,1053,Gd,10007,72,54,0,7,5,1053,1959,2006,145500,-0.09113210703448645,-0.4943715644703972,-0.594522376301148,-0.8563701564140113
1752,0,2,No,456,6,1296,576,2,2005,1752,Ex,7658,61,412,82,5,9,1752,2005,2005,319900,1.360504141949402,1.3579292181766944,0.49017026525439555,0.6479984322732164
