1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,EnclosedPorch,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,SalePrice
520.0,0.0,1.0,No,0.0,Unf,520.0,,240.0,Unf,1920.0,520.0,Fa,6324.0,60.0,0.0,0.0,6.0,4.0,520.0,,1927,1950,68500.0
649.0,668.0,3.0,No,0.0,Unf,649.0,,250.0,Unf,1920.0,1317.0,TA,8500.0,50.0,0.0,54.0,4.0,4.0,649.0,,1920,1950,40000.0
1228.0,0.0,3.0,No,0.0,Unf,1228.0,,271.0,Unf,1966.0,1228.0,Gd,8544.0,,0.0,65.0,6.0,5.0,1228.0,,1966,2006,149350.0
1234.0,0.0,3.0,Av,0.0,Unf,1234.0,0.0,484.0,RFn,2007.0,1234.0,Gd,11049.0,85.0,0.0,30.0,5.0,8.0,1234.0,,2007,2007,179900.0
1700.0,0.0,4.0,No,1018.0,Rec,380.0,,447.0,RFn,1959.0,1700.0,Gd,10552.0,70.0,0.0,38.0,5.0,5.0,1398.0,,1959,1959,165500.0
1561.0,0.0,2.0,No,1153.0,GLQ,408.0,,556.0,Fin,2005.0,1561.0,Ex,7313.0,60.0,246.0,47.0,5.0,9.0,1561.0,203.0,2005,2005,277500.0
1132.0,1320.0,4.0,Av,0.0,Unf,1117.0,,691.0,,2004.0,2452.0,Gd,13418.0,108.0,132.0,32.0,5.0,8.0,1117.0,,2004,2005,309000.0
1097.0,0.0,3.0,No,0.0,Unf,1097.0,,672.0,Unf,1995.0,1097.0,TA,10859.0,112.0,0.0,64.0,5.0,5.0,1097.0,,1994,1995,145000.0
1297.0,0.0,,No,1213.0,Rec,84.0,0.0,498.0,Fin,1954.0,1297.0,TA,8532.0,74.0,650.0,0.0,6.0,5.0,1297.0,,1954,1990,153000.0
1057.0,0.0,3.0,No,731.0,GLQ,326.0,,246.0,Unf,1953.0,1057.0,Gd,7922.0,68.0,0.0,52.0,7.0,5.0,1057.0,,1953,2007,109000.0
1152.0,0.0,,None,0.0,None,0.0,,0.0,None,,1152.0,Fa,6040.0,65.0,0.0,0.0,5.0,4.0,0.0,,1955,1955,82000.0
1324.0,0.0,3.0,No,643.0,Rec,445.0,,440.0,,1965.0,1324.0,TA,8658.0,84.0,101.0,138.0,5.0,6.0,1088.0,0.0,1965,1965,160000.0
1328.0,,2.0,Gd,967.0,BLQ,383.0,,308.0,,1959.0,1328.0,TA,16905.0,115.0,0.0,104.0,6.0,5.0,1350.0,,1959,1959,170000.0
884.0,0.0,2.0,Av,747.0,ALQ,0.0,,504.0,RFn,1983.0,884.0,Gd,9180.0,,0.0,0.0,7.0,5.0,840.0,240.0,1983,1983,144000.0
938.0,0.0,3.0,Av,280.0,LwQ,167.0,,308.0,Unf,1977.0,938.0,TA,9200.0,,0.0,0.0,6.0,5.0,938.0,145.0,1975,1980,130250.0
1150.0,0.0,3.0,No,179.0,ALQ,465.0,,300.0,RFn,1959.0,1150.0,TA,7945.0,70.0,0.0,0.0,6.0,5.0,1150.0,,1959,1959,141000.0
1752.0,0.0,2.0,No,456.0,GLQ,1296.0,,576.0,RFn,2005.0,1752.0,Ex,7658.0,61.0,412.0,82.0,5.0,9.0,1752.0,,2005,2005,319900.0
1518.0,631.0,1.0,No,1351.0,GLQ,83.0,,670.0,RFn,2003.0,2149.0,Gd,12822.0,48.0,0.0,43.0,5.0,7.0,1434.0,,2003,2003,239686.0
1656.0,0.0,3.0,Av,24.0,GLQ,1632.0,,826.0,,2006.0,1656.0,Gd,11096.0,84.0,0.0,146.0,5.0,8.0,1656.0,,2006,2006,249700.0
736.0,716.0,2.0,No,0.0,Unf,736.0,,0.0,None,,1452.0,TA,4456.0,33.0,0.0,0.0,5.0,4.0,736.0,,1920,2008,113000.0
955.0,0.0,3.0,No,763.0,BLQ,192.0,,386.0,Unf,1966.0,955.0,TA,7742.0,66.0,0.0,0.0,7.0,5.0,955.0,,1966,1966,127000.0
794.0,676.0,,Av,182.0,GLQ,612.0,,388.0,Fin,1997.0,1470.0,TA,13869.0,,0.0,75.0,6.0,6.0,794.0,,1997,1997,177000.0
816.0,0.0,3.0,No,0.0,Unf,816.0,,528.0,Unf,1985.0,1176.0,TA,6240.0,52.0,0.0,0.0,6.0,6.0,816.0,,1934,1950,114500.0
816.0,0.0,2.0,Gd,104.0,LwQ,0.0,,516.0,Unf,1963.0,816.0,TA,8472.0,110.0,0.0,0.0,5.0,5.0,816.0,,1963,1963,110000.0
1842.0,0.0,0.0,Gd,1810.0,GLQ,32.0,,894.0,Fin,1981.0,1842.0,Gd,50271.0,68.0,0.0,72.0,5.0,9.0,1842.0,,1981,1987,385000.0
1360.0,0.0,,No,384.0,ALQ,0.0,,572.0,Unf,1962.0,1360.0,TA,7134.0,60.0,0.0,50.0,5.0,5.0,384.0,,1955,1955,130000.0
1425.0,0.0,3.0,No,490.0,,935.0,,576.0,RFn,1964.0,1425.0,TA,10175.0,100.0,272.0,0.0,5.0,6.0,1425.0,,1964,1964,180500.0
983.0,756.0,3.0,No,649.0,GLQ,321.0,,480.0,Fin,1999.0,1739.0,Gd,2645.0,24.0,456.0,0.0,5.0,8.0,970.0,,1999,2000,172500.0
860.0,,3.0,No,0.0,Unf,860.0,,565.0,RFn,2004.0,1720.0,Gd,11645.0,89.0,0.0,70.0,5.0,7.0,860.0,,2004,2004,196500.0
1426.0,1519.0,3.0,Gd,0.0,Unf,1410.0,,641.0,Fin,2006.0,2945.0,Gd,13682.0,66.0,1031.0,0.0,5.0,10.0,1410.0,,2006,2006,438780.0
780.0,0.0,2.0,Av,632.0,ALQ,148.0,,352.0,Unf,1973.0,780.0,TA,7200.0,60.0,0.0,0.0,7.0,5.0,780.0,196.0,1972,1972,124900.0
1158.0,0.0,3.0,No,941.0,ALQ,217.0,,576.0,Unf,2006.0,1158.0,Gd,13072.0,63.0,0.0,50.0,5.0,6.0,1158.0,,2004,2004,158000.0
581.0,530.0,3.0,No,0.0,Unf,530.0,,288.0,Unf,1935.0,1111.0,Fa,7200.0,60.0,0.0,0.0,7.0,5.0,530.0,,1920,1996,101000.0
1370.0,0.0,2.0,Mn,24.0,GLQ,1346.0,,484.0,RFn,2006.0,1370.0,Gd,6442.0,44.0,178.0,49.0,5.0,8.0,1370.0,,2006,2006,202500.0
902.0,808.0,3.0,No,0.0,Unf,576.0,,480.0,Unf,1990.0,1710.0,TA,10300.0,50.0,0.0,11.0,6.0,7.0,576.0,,1921,1950,140000.0
1057.0,977.0,,No,739.0,GLQ,318.0,0.0,645.0,RFn,1998.0,2034.0,Gd,9375.0,,573.0,36.0,5.0,7.0,1057.0,,1997,1998,219500.0
1143.0,1330.0,4.0,Av,0.0,Unf,1143.0,,852.0,,2004.0,2473.0,Gd,9591.0,76.0,344.0,151.0,5.0,8.0,1143.0,,2004,2005,317000.0
2207.0,0.0,3.0,Gd,912.0,GLQ,1035.0,,576.0,RFn,1970.0,2207.0,TA,19900.0,,287.0,0.0,5.0,7.0,1947.0,,1970,1989,180000.0
1479.0,0.0,3.0,Av,1013.0,GLQ,440.0,,558.0,RFn,2003.0,1479.0,Gd,10665.0,72.0,167.0,29.0,5.0,7.0,1453.0,,2003,2003,226000.0
747.0,0.0,2.0,No,0.0,Unf,747.0,,220.0,Unf,1945.0,747.0,TA,4608.0,47.0,0.0,0.0,6.0,4.0,747.0,,1945,1950,80000.0
1304.0,983.0,,No,603.0,BLQ,701.0,,667.0,Fin,1953.0,2287.0,TA,15593.0,81.0,0.0,21.0,4.0,7.0,1304.0,,1953,1953,225000.0
2223.0,0.0,3.0,Gd,1880.0,ALQ,343.0,,516.0,Fin,1973.0,2223.0,TA,13651.0,95.0,1115.0,0.0,6.0,7.0,2223.0,300.0,1973,1973,244000.0
845.0,0.0,2.0,No,565.0,ALQ,280.0,0.0,360.0,Unf,1987.0,845.0,TA,7599.0,69.0,0.0,0.0,6.0,4.0,845.0,,1982,2006,129500.0
885.0,833.0,3.0,No,0.0,Unf,832.0,,427.0,Fin,1998.0,1718.0,TA,10141.0,74.0,40.0,94.0,5.0,7.0,832.0,,1998,1998,185000.0
1086.0,0.0,3.0,No,320.0,ALQ,404.0,0.0,490.0,Unf,1989.0,1086.0,TA,10200.0,85.0,104.0,0.0,7.0,5.0,1086.0,,1954,2003,144900.0
840.0,765.0,3.0,No,0.0,Unf,840.0,,379.0,Unf,1915.0,1605.0,TA,5790.0,60.0,0.0,0.0,6.0,3.0,840.0,0.0,1915,1950,107400.0
526.0,462.0,2.0,Gd,462.0,GLQ,0.0,,297.0,Unf,1973.0,988.0,TA,1596.0,21.0,0.0,101.0,5.0,4.0,462.0,,1973,1973,91000.0
952.0,0.0,2.0,No,228.0,ALQ,724.0,,283.0,Unf,1956.0,952.0,TA,8475.0,,0.0,0.0,7.0,4.0,952.0,,1956,1956,135750.0
1072.0,213.0,2.0,No,336.0,BLQ,295.0,,240.0,Unf,1948.0,1285.0,TA,8635.0,50.0,0.0,0.0,5.0,5.0,672.0,,1948,2001,127000.0
1768.0,0.0,4.0,No,0.0,Unf,1768.0,,0.0,None,,1768.0,TA,10778.0,72.0,0.0,0.0,5.0,4.0,1768.0,,1968,1968,136500.0
682.0,548.0,2.0,No,0.0,Unf,440.0,,440.0,Unf,1966.0,1230.0,TA,10440.0,60.0,0.0,0.0,6.0,5.0,440.0,,1910,1981,110000.0
1182.0,960.0,,No,448.0,Rec,448.0,,509.0,Fin,1968.0,2142.0,Gd,13000.0,100.0,576.0,72.0,6.0,6.0,896.0,,1968,1968,193500.0
1337.0,0.0,2.0,No,1201.0,GLQ,36.0,,405.0,Fin,1998.0,1337.0,TA,4500.0,32.0,443.0,199.0,5.0,6.0,1237.0,,1998,1998,153500.0
1563.0,0.0,3.0,No,33.0,GLQ,1530.0,,758.0,RFn,2007.0,1563.0,Gd,10206.0,78.0,468.0,99.0,5.0,8.0,1563.0,,2007,2007,245000.0
1065.0,0.0,3.0,No,0.0,Unf,1065.0,,461.0,Unf,1974.0,1065.0,TA,8892.0,80.0,66.0,0.0,5.0,5.0,1065.0,,1960,1960,126500.0
804.0,670.0,3.0,No,0.0,Unf,384.0,,400.0,Fin,1995.0,1474.0,TA,8530.0,,22.0,72.0,5.0,7.0,384.0,120.0,1995,1996,168500.0
1301.0,1116.0,4.0,No,0.0,Unf,1288.0,,462.0,Unf,1991.0,2417.0,Gd,16059.0,121.0,284.0,82.0,5.0,8.0,1288.0,127.0,1991,1992,260000.0
684.0,876.0,3.0,Av,0.0,Unf,684.0,,400.0,Fin,2005.0,1560.0,Gd,11911.0,122.0,0.0,38.0,5.0,6.0,684.0,,2005,2005,174000.0
612.0,612.0,,Av,0.0,Unf,612.0,,528.0,RFn,2009.0,1224.0,Gd,3951.0,40.0,76.0,234.0,5.0,6.0,612.0,,2009,2009,164500.0
1013.0,0.0,2.0,No,0.0,Unf,1013.0,,0.0,None,,1526.0,Fa,8470.0,105.0,0.0,0.0,2.0,3.0,1013.0,,1915,1982,85000.0
990.0,0.0,3.0,No,588.0,,402.0,,0.0,None,,990.0,TA,8070.0,60.0,0.0,0.0,5.0,4.0,990.0,,1994,1995,123600.0
1040.0,0.0,2.0,None,0.0,,0.0,,420.0,Unf,1950.0,1040.0,TA,7200.0,60.0,0.0,29.0,5.0,4.0,0.0,,1950,1950,109900.0
1235.0,0.0,2.0,No,600.0,Rec,635.0,0.0,480.0,Unf,1961.0,1235.0,TA,8500.0,85.0,203.0,0.0,3.0,5.0,1235.0,,1961,1961,98600.0
964.0,0.0,2.0,No,713.0,ALQ,163.0,,432.0,Unf,1921.0,964.0,TA,13360.0,80.0,0.0,0.0,7.0,5.0,876.0,,1921,2006,163500.0
1260.0,1031.0,4.0,Mn,1046.0,Rec,168.0,,506.0,Unf,1900.0,2291.0,TA,7200.0,60.0,0.0,0.0,6.0,6.0,1214.0,,1910,1998,133900.0
905.0,881.0,3.0,No,648.0,GLQ,176.0,,684.0,RFn,1997.0,1786.0,Gd,9337.0,69.0,0.0,162.0,5.0,6.0,824.0,,1997,1997,204750.0
680.0,790.0,3.0,No,310.0,,370.0,,420.0,Fin,1993.0,1470.0,TA,9765.0,,68.0,63.0,8.0,6.0,680.0,,1993,1993,185000.0
1588.0,,,Av,1162.0,ALQ,426.0,,472.0,RFn,1999.0,1588.0,Gd,10264.0,78.0,183.0,29.0,5.0,7.0,1588.0,,1999,1999,214000.0
960.0,0.0,3.0,No,520.0,Rec,440.0,,432.0,Fin,1965.0,960.0,TA,10921.0,73.0,48.0,0.0,5.0,4.0,960.0,,1965,1965,94750.0
835.0,0.0,2.0,No,108.0,ALQ,350.0,,366.0,Unf,1920.0,835.0,TA,10625.0,85.0,0.0,0.0,5.0,5.0,458.0,0.0,1920,1950,83000.0
1225.0,0.0,3.0,No,569.0,ALQ,381.0,,0.0,None,,1225.0,TA,9320.0,77.0,0.0,0.0,5.0,4.0,950.0,,1959,1959,128950.0
1610.0,0.0,3.0,Mn,1200.0,ALQ,410.0,,480.0,RFn,1977.0,1610.0,Gd,10603.0,,28.0,68.0,7.0,6.0,1610.0,,1977,2001,205000.0
977.0,755.0,3.0,No,0.0,,741.0,,476.0,Fin,1985.0,1732.0,Gd,9206.0,77.0,336.0,46.0,5.0,6.0,741.0,,1985,1985,178000.0
1535.0,0.0,4.0,None,0.0,None,0.0,,410.0,Unf,1979.0,1535.0,TA,7018.0,64.0,0.0,0.0,5.0,5.0,0.0,,1979,1979,118964.0
1226.0,0.0,,No,0.0,Unf,1226.0,,740.0,RFn,2009.0,1226.0,Gd,10402.0,94.0,0.0,36.0,5.0,7.0,1226.0,,2009,2009,198900.0
1226.0,592.0,4.0,No,224.0,LwQ,816.0,,240.0,,1951.0,1818.0,TA,7758.0,,600.0,0.0,4.0,7.0,1040.0,,1931,1950,169500.0
1053.0,,3.0,No,0.0,Unf,1053.0,,648.0,RFn,2003.0,1992.0,Gd,9375.0,75.0,768.0,45.0,5.0,8.0,1053.0,,2003,2004,250000.0
1047.0,0.0,2.0,No,0.0,Unf,641.0,,273.0,Unf,1954.0,1047.0,TA,10800.0,60.0,0.0,0.0,7.0,4.0,641.0,,1885,1995,100000.0
789.0,0.0,2.0,No,104.0,ALQ,516.0,,250.0,Unf,1948.0,789.0,TA,6000.0,50.0,0.0,0.0,5.0,5.0,789.0,,1948,1950,115000.0
997.0,,3.0,No,0.0,Unf,793.0,,0.0,None,,1517.0,Fa,8500.0,85.0,0.0,0.0,7.0,5.0,793.0,,1919,2005,115000.0
1844.0,0.0,3.0,No,705.0,BLQ,1139.0,,546.0,RFn,1977.0,1844.0,TA,11751.0,105.0,480.0,122.0,6.0,6.0,1844.0,,1977,1977,190000.0
1216.0,639.0,4.0,No,444.0,Rec,550.0,,325.0,Unf,1954.0,1855.0,TA,9525.0,75.0,0.0,0.0,4.0,6.0,994.0,,1954,1972,136900.0
774.0,656.0,3.0,No,250.0,GLQ,134.0,,400.0,Fin,2000.0,1430.0,TA,7750.0,,0.0,0.0,5.0,7.0,384.0,,2000,2000,180000.0
1282.0,1414.0,4.0,Av,984.0,GLQ,280.0,,792.0,,2007.0,2696.0,Ex,9965.0,77.0,220.0,184.0,5.0,7.0,1264.0,,2007,2007,383970.0
2259.0,0.0,3.0,Mn,35.0,,905.0,,450.0,Unf,1953.0,2259.0,Gd,21000.0,,184.0,120.0,5.0,6.0,1809.0,,1953,1953,217000.0
1436.0,884.0,3.0,No,774.0,ALQ,104.0,,180.0,Unf,1945.0,2320.0,Gd,7259.0,61.0,0.0,0.0,8.0,6.0,1028.0,,1945,2002,259500.0
729.0,729.0,2.0,No,419.0,GLQ,310.0,,440.0,Unf,1999.0,1458.0,TA,3230.0,34.0,1129.0,32.0,5.0,6.0,729.0,,1999,1999,176000.0
1092.0,0.0,3.0,No,170.0,LwQ,252.0,,288.0,Unf,1962.0,1092.0,TA,11616.0,,116.0,20.0,5.0,5.0,1092.0,,1962,1962,139000.0
1125.0,0.0,2.0,No,0.0,Unf,1125.0,,430.0,Unf,2007.0,1125.0,TA,8536.0,74.0,0.0,64.0,5.0,5.0,1125.0,,2006,2007,155000.0
1699.0,1523.0,5.0,Mn,1470.0,GLQ,203.0,,594.0,Unf,1990.0,3222.0,Gd,12376.0,90.0,0.0,0.0,5.0,7.0,1673.0,,1990,1990,320000.0
728.0,728.0,3.0,No,0.0,Unf,728.0,,390.0,Fin,2005.0,1456.0,Gd,8461.0,65.0,0.0,24.0,5.0,6.0,728.0,,2005,2006,163990.0
988.0,0.0,1.0,Gd,938.0,ALQ,0.0,,540.0,Unf,1969.0,988.0,TA,21453.0,,0.0,130.0,5.0,6.0,938.0,0.0,1969,1969,180000.0
772.0,351.0,3.0,No,0.0,Unf,732.0,,264.0,Unf,1979.0,1123.0,TA,6060.0,50.0,0.0,0.0,5.0,4.0,732.0,,1939,1950,100000.0
1080.0,0.0,3.0,No,570.0,BLQ,510.0,,288.0,Unf,1958.0,1080.0,TA,9464.0,75.0,135.0,0.0,7.0,6.0,1080.0,,1958,1958,136000.0
1199.0,0.0,2.0,No,300.0,GLQ,899.0,,530.0,RFn,1993.0,1199.0,Gd,7892.0,55.0,0.0,63.0,5.0,6.0,1199.0,,1993,1993,153900.0
1586.0,0.0,3.0,No,0.0,,1362.0,,435.0,Unf,1979.0,1586.0,TA,17043.0,48.0,0.0,0.0,5.0,6.0,1362.0,192.0,1979,1998,181000.0
520.0,0.0,2.0,Av,490.0,GLQ,30.0,,0.0,,,754.0,TA,6780.0,60.0,0.0,0.0,8.0,6.0,520.0,,1935,1982,84500.0
958.0,,2.0,No,120.0,ALQ,958.0,,440.0,RFn,1977.0,958.0,TA,4928.0,,0.0,205.0,5.0,6.0,1078.0,0.0,1976,1976,128000.0
840.0,0.0,3.0,No,116.0,LwQ,556.0,,0.0,None,,840.0,TA,4388.0,55.0,0.0,0.0,7.0,5.0,672.0,,1930,1950,87000.0
660.0,688.0,3.0,No,512.0,BLQ,148.0,,453.0,RFn,1966.0,1348.0,TA,7590.0,69.0,266.0,108.0,5.0,6.0,660.0,,1966,1966,155000.0
1053.0,,3.0,No,567.0,Rec,413.0,,750.0,RFn,1998.0,1053.0,Ex,8973.0,69.0,85.0,80.0,7.0,5.0,1008.0,,1958,1991,150000.0
1216.0,941.0,4.0,No,445.0,Rec,479.0,,487.0,,1966.0,2157.0,Gd,14200.0,88.0,309.0,66.0,6.0,7.0,924.0,,1966,1966,226000.0
1022.0,1032.0,3.0,No,695.0,GLQ,297.0,,390.0,RFn,2000.0,2054.0,Gd,12224.0,,40.0,48.0,5.0,6.0,992.0,,2000,2000,244000.0
1327.0,0.0,,No,405.0,Rec,658.0,,624.0,Unf,1974.0,1327.0,Gd,7388.0,75.0,0.0,0.0,6.0,5.0,1063.0,,1959,2002,150750.0
1296.0,0.0,2.0,No,1005.0,GLQ,262.0,,471.0,Fin,2001.0,1296.0,Gd,6853.0,,136.0,25.0,5.0,8.0,1267.0,,2001,2002,220000.0
1721.0,0.0,3.0,No,570.0,Rec,891.0,,440.0,RFn,1968.0,1721.0,TA,10335.0,78.0,0.0,96.0,6.0,5.0,1461.0,,1968,1993,180000.0
1682.0,0.0,3.0,No,0.0,Unf,1304.0,,530.0,Unf,1970.0,1682.0,TA,10400.0,80.0,288.0,0.0,6.0,7.0,1304.0,,1970,1970,174000.0
1214.0,,,No,695.0,BLQ,519.0,0.0,318.0,RFn,1967.0,1214.0,TA,10355.0,,196.0,111.0,5.0,5.0,1214.0,,1967,1967,143000.0
1959.0,0.0,5.0,No,0.0,Unf,1907.0,,766.0,Unf,1989.0,1959.0,TA,11070.0,82.0,70.0,0.0,5.0,7.0,1907.0,,1988,1989,171000.0
1004.0,848.0,3.0,Mn,668.0,GLQ,336.0,,660.0,Fin,1999.0,1852.0,Gd,9066.0,73.0,320.0,106.0,5.0,8.0,1004.0,,1999,2000,230000.0
928.0,836.0,3.0,No,821.0,GLQ,107.0,,470.0,RFn,1997.0,1764.0,Gd,15426.0,65.0,0.0,99.0,5.0,6.0,928.0,,1997,1997,231500.0
864.0,0.0,3.0,No,432.0,ALQ,432.0,,0.0,None,,864.0,TA,10500.0,70.0,0.0,0.0,5.0,4.0,864.0,,1971,1971,115000.0
1734.0,0.0,3.0,Av,1300.0,GLQ,434.0,,660.0,,2005.0,1734.0,Gd,11645.0,78.0,0.0,24.0,5.0,7.0,1734.0,,2005,2005,260000.0
910.0,,4.0,No,507.0,Rec,403.0,,720.0,Unf,2000.0,1385.0,TA,8520.0,71.0,0.0,0.0,4.0,5.0,910.0,,1952,1952,166000.0
1501.0,0.0,3.0,Gd,679.0,GLQ,811.0,,577.0,RFn,1999.0,1501.0,Gd,10335.0,78.0,183.0,29.0,5.0,7.0,1490.0,,1999,1999,204000.0
1728.0,0.0,6.0,No,1332.0,Rec,396.0,,504.0,Unf,1963.0,1728.0,TA,9100.0,70.0,336.0,0.0,5.0,5.0,1728.0,0.0,1963,1963,125000.0
970.0,739.0,3.0,No,0.0,Unf,970.0,,380.0,Unf,2004.0,1709.0,Gd,2522.0,24.0,50.0,40.0,5.0,6.0,970.0,,2004,2006,130000.0
875.0,0.0,2.0,No,209.0,BLQ,506.0,,180.0,Unf,1931.0,875.0,TA,6120.0,51.0,0.0,0.0,7.0,5.0,715.0,,1931,1993,105000.0
884.0,1151.0,3.0,No,0.0,Unf,884.0,,434.0,Fin,2001.0,2035.0,Gd,9505.0,,180.0,48.0,5.0,7.0,884.0,,2001,2001,222500.0
1080.0,0.0,3.0,No,680.0,GLQ,400.0,0.0,0.0,None,,1080.0,Gd,7500.0,63.0,120.0,0.0,5.0,7.0,1080.0,,2004,2005,141000.0
896.0,448.0,3.0,No,0.0,Unf,896.0,,240.0,,1936.0,1344.0,TA,6240.0,,0.0,114.0,4.0,5.0,896.0,,1936,1950,115000.0
