1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
1113,0,3,No,751,4,392,504,2,1987,1113,TA,7917,69,174,30,7,6,1143,1976,1976,148000
1071,1101,3,No,0,1,1063,947,2,2006,2172,Gd,14154,109,350,62,5,7,1063,2006,2006,280000
796,550,2,No,0,1,560,384,1,1950,1346,TA,11767,70,0,24,7,4,560,1910,2000,112000
1184,1426,4,Av,64,6,1120,550,3,2007,2610,Ex,9000,75,0,364,5,8,1184,2007,2007,303477
1026,932,3,No,0,1,1026,936,3,2005,1958,Gd,10625,85,0,210,5,7,1026,2005,2005,250000
1468,0,3,No,0,1,1468,898,3,2008,1468,Gd,9612,74,72,150,5,8,1468,2008,2009,244600
1302,432,4,None,0,0,0,539,1,1977,1734,Gd,10125,75,0,0,5,5,0,1977,1977,126000
768,432,3,No,352,4,416,240,1,1946,1200,TA,11767,70,0,0,6,5,768,1946,1995,130500
1112,438,2,No,812,6,280,438,3,2007,1550,Gd,8125,65,100,168,5,7,1092,2006,2007,241000
954,795,5,No,0,1,795,440,1,1997,2230,TA,6204,60,0,188,5,4,795,1912,1950,118500
1166,0,3,No,0,1,1064,240,1,1936,1639,TA,10480,51,0,0,5,6,1064,1936,1950,115000
864,0,3,No,521,4,169,624,2,1964,864,TA,9100,70,0,0,5,5,864,1958,1958,129900
1621,0,3,Mn,213,5,995,440,2,1984,1621,Gd,14145,91,0,45,7,7,1208,1984,1998,202500
483,504,3,No,162,5,321,264,1,1972,987,Gd,1680,21,510,0,8,6,483,1972,2007,118000
1238,1281,4,Gd,965,6,245,628,2,1989,2519,Gd,26178,42,293,27,5,7,1210,1989,1990,335000
765,600,3,No,765,2,0,440,1,1970,1365,TA,2368,24,312,36,6,5,765,1970,1970,125000
1149,1141,4,Mn,0,1,1128,779,1,2002,2290,Gd,11250,69,0,0,5,8,1128,2002,2002,255900
1249,1347,4,Av,0,1,1249,840,2,2006,2596,Gd,16259,111,370,154,5,9,1249,2006,2006,342643
907,0,3,No,288,3,619,352,1,1964,907,TA,8593,77,0,0,6,4,907,1957,1957,109008
855,0,3,No,566,5,289,440,2,1976,1456,TA,2280,24,0,0,6,6,855,1976,1976,148500
1190,0,3,Av,803,5,303,540,2,1962,1190,TA,7728,70,120,18,6,5,1106,1962,1962,132500
858,0,2,No,322,5,536,684,1,1979,858,TA,7340,69,0,0,6,4,858,1971,1971,110000
2223,0,3,Gd,1880,5,343,516,3,1973,2223,TA,13651,95,1115,0,6,7,2223,1973,1973,244000
1005,0,2,No,0,1,1005,672,1,1977,1005,Fa,10434,60,0,0,5,4,1005,1955,1955,115000
1086,809,3,No,0,1,712,409,3,1994,1895,Gd,10832,69,0,46,5,7,712,1994,1996,194500
1040,0,3,No,906,3,134,384,1,1965,1040,TA,11200,70,0,0,5,5,1040,1965,1965,129500
1264,0,3,No,697,3,571,461,1,1960,1264,TA,9300,73,324,0,5,5,1268,1960,1960,167500
874,887,3,No,0,1,874,578,3,2007,1761,Gd,10207,84,0,105,6,7,874,2007,2007,227875
1034,0,3,Av,539,6,473,888,1,1976,1034,TA,12328,69,335,0,5,6,1012,1976,1976,169900
1363,0,2,Gd,226,2,96,439,1,1954,1363,TA,39104,73,0,0,7,7,1385,1954,2005,241500
1689,0,3,No,0,1,1436,480,1,1956,1689,TA,9855,73,0,0,5,6,1436,1956,1956,127500
2113,0,2,Gd,1696,6,413,839,3,1995,2113,Gd,10437,91,660,46,6,8,2109,1995,1995,350000
1573,0,3,No,788,6,785,544,2,2002,1573,Gd,9808,67,110,72,5,7,1573,2002,2002,227000
2364,0,3,Gd,2188,6,142,820,3,2009,2364,Ex,12919,100,760,67,5,9,2330,2009,2010,611657
1057,977,3,No,739,6,318,645,2,1998,2034,Gd,9375,69,573,36,5,7,1057,1997,1998,219500
1291,0,2,Mn,1003,6,288,431,1,1996,1291,Gd,2887,69,0,0,5,6,1291,1996,1997,173000
858,0,2,Gd,696,4,162,0,0,1979,858,TA,7207,50,0,0,7,5,858,1958,2008,116500
698,560,2,Mn,204,3,356,280,1,1939,1258,TA,9060,60,0,0,5,6,560,1939,1950,105000
438,0,1,No,290,3,0,246,1,1930,438,Fa,8400,60,0,0,5,2,290,1920,1950,60000
672,728,3,No,209,5,463,440,3,1978,1400,TA,7844,74,203,0,7,6,672,1978,1978,149500
954,0,2,No,0,1,920,240,1,1938,954,Fa,6305,50,0,0,7,5,920,1938,1950,119750
1445,0,3,Gd,564,4,563,645,2,1964,1445,TA,12095,69,115,0,6,6,1127,1964,1964,158000
1072,0,2,Gd,459,4,88,525,2,2005,1072,TA,3675,35,80,28,5,6,547,2005,2005,148000
1664,0,4,None,0,0,0,0,0,1979,1664,TA,9825,75,0,0,5,5,0,1965,1965,100000
1445,689,5,No,0,1,844,441,1,1930,2134,Gd,11888,69,0,60,6,6,844,1916,1994,214500
1940,1254,4,Mn,428,4,537,380,1,1934,3194,TA,12168,78,0,0,6,8,965,1934,1998,359100
912,912,4,Av,0,1,912,0,0,1979,1824,TA,9400,94,0,0,5,6,912,1971,1971,139000
888,868,3,No,742,5,130,422,3,1996,1756,TA,9303,69,42,122,5,6,872,1996,1997,204000
912,0,2,No,595,5,317,576,1,1992,912,Gd,8872,72,300,240,8,5,912,1965,2008,147000
1509,0,3,Av,783,6,678,600,2,1988,1509,Gd,10200,85,219,0,5,6,1461,1988,1989,175000
1160,448,3,No,264,4,712,216,1,1925,1608,Gd,6171,51,0,16,6,6,976,1925,1990,137450
1316,0,3,No,28,6,1288,397,3,2005,1316,Gd,10237,65,0,0,5,6,1316,2005,2006,169990
1015,0,3,No,489,3,279,450,1,1925,1015,TA,6120,51,0,0,7,5,768,1925,1950,88000
756,378,3,No,312,5,444,240,1,1940,1134,TA,8160,60,0,0,6,5,756,1940,1950,126000
1636,0,3,No,63,6,1560,865,2,2006,1636,Gd,13501,116,208,60,5,8,1623,2006,2006,255000
660,660,3,No,0,1,660,400,3,2003,1320,Gd,7750,69,0,48,5,7,660,2003,2003,162000
1160,966,3,Gd,249,2,0,538,3,1967,2126,TA,28698,69,0,0,5,5,1013,1967,1967,185000
1128,0,3,Mn,776,5,344,525,2,1963,1128,TA,8700,80,148,20,6,5,1120,1963,1963,155000
1306,0,2,Mn,860,4,132,756,1,1968,1306,TA,8712,64,0,0,7,5,992,1957,2000,153000
798,546,3,No,0,1,546,0,0,1979,1344,TA,1533,21,0,0,6,4,546,1970,2008,97000
1576,978,3,No,0,4,718,704,1,1996,2554,TA,10800,60,0,48,8,7,718,1890,1998,159500
893,0,2,No,220,5,625,576,1,1985,893,Gd,9600,60,0,0,7,5,845,1949,2003,135000
894,1039,4,Mn,0,1,894,668,3,2007,1933,Gd,14598,86,74,18,5,6,894,2007,2007,214000
672,546,3,No,356,4,316,264,1,1973,1218,TA,1890,21,285,28,5,6,672,1973,1973,113000
1161,808,3,No,0,1,808,534,2,1977,1969,TA,11952,92,0,0,6,7,808,1977,1977,190000
1220,870,3,No,1079,6,141,556,2,1995,2090,Gd,10000,80,438,65,5,8,1220,1995,1996,240000
1484,0,3,Av,998,5,486,487,1,1971,1484,TA,12243,70,0,0,6,5,1484,1971,1971,175000
1656,0,4,No,0,1,1656,506,1,1973,1656,TA,9246,87,564,211,5,5,1656,1973,1973,135000
818,406,3,No,468,3,350,210,1,1926,1224,TA,3950,69,0,0,8,6,818,1926,2004,115000
1022,1032,3,No,695,6,297,390,2,2000,2054,Gd,12224,69,40,48,5,6,992,2000,2000,244000
854,0,2,No,0,1,832,576,1,1991,854,TA,6120,51,0,112,8,7,832,1929,2001,132000
546,546,3,No,334,4,212,286,2,1973,1092,TA,1974,69,0,96,5,4,546,1973,1973,83500
1268,0,3,Av,196,5,1072,252,1,1978,1268,Gd,9286,69,0,0,7,5,1268,1977,1989,143500
827,834,3,Av,385,6,70,550,2,1996,1661,Gd,10667,43,0,61,6,7,799,1996,1996,212000
1668,0,3,Av,370,4,315,502,3,2003,1668,Gd,10635,48,171,262,5,8,1657,2003,2003,232000
1493,0,3,Gd,994,6,484,508,3,1997,1493,Gd,13125,75,215,39,5,6,1478,1997,1998,208900
932,0,2,No,0,1,932,306,1,1950,932,Gd,8280,57,0,0,5,6,932,1950,1950,124000
1277,0,2,Gd,778,6,499,526,1,1970,1277,TA,10628,85,0,0,5,7,1277,1970,1970,167000
1530,0,3,Av,1300,6,230,630,3,2004,1530,Gd,14572,182,0,36,5,7,1530,2004,2004,259000
1344,0,2,No,457,5,193,484,1,1970,1344,TA,9503,69,0,28,5,5,1024,1958,1983,144000
860,0,2,Av,672,5,168,528,1,1996,860,TA,8740,74,0,0,6,5,840,1982,1982,137000
1314,0,2,No,904,6,410,626,2,2008,1314,Gd,5001,34,166,62,5,7,1314,2007,2008,230000
1391,571,3,Mn,464,6,927,868,2,2006,1962,Gd,8760,73,0,90,5,7,1391,2006,2006,239799
788,702,3,Av,724,6,64,388,3,2004,1490,Gd,15384,60,0,75,5,7,788,2004,2005,184000
848,0,1,Av,662,6,186,420,2,2004,848,Gd,4426,69,169,0,5,6,848,2004,2004,143000
672,0,2,No,0,1,672,240,1,1940,672,TA,10200,60,0,0,8,5,672,1940,1997,108000
1188,1152,4,No,275,6,877,252,2,1941,2340,Gd,9042,66,0,60,9,7,1152,1941,2006,266500
808,704,3,No,0,1,660,180,1,1916,1656,TA,10410,60,0,0,7,5,660,1916,1987,135000
725,754,4,No,626,5,99,484,3,1972,1479,Gd,7472,69,138,32,9,7,725,1972,2004,184000
1226,0,3,No,0,1,1226,740,2,2009,1226,Gd,10402,94,0,36,5,7,1226,2009,2009,198900
976,1111,5,Gd,568,2,264,444,3,1966,2087,Gd,12205,69,157,168,8,6,832,1966,2007,187500
1158,0,3,No,941,5,217,576,1,2006,1158,Gd,13072,63,0,50,5,6,1158,2004,2004,158000
1154,0,3,Mn,740,4,184,480,2,1966,1154,TA,11000,69,200,58,6,5,1154,1966,1966,154000
880,844,3,Av,0,1,880,527,3,1998,1724,Gd,8924,57,0,155,5,7,880,1998,1999,188000
773,885,3,No,219,6,554,431,3,1995,1658,TA,8000,69,0,84,5,6,773,1995,1996,188000
1126,0,2,None,0,0,0,520,3,2002,1126,Gd,8777,67,0,96,5,4,0,1949,2003,108000
872,521,3,No,0,1,816,300,1,1955,1393,TA,16466,59,0,0,7,5,816,1955,1955,135500
1968,1479,4,Mn,192,3,536,1014,2,1982,3447,Gd,14100,69,632,12,9,8,728,1935,1997,381000
483,504,2,No,309,4,174,264,1,1973,987,TA,1953,21,408,0,5,6,483,1973,1973,83000
808,547,4,No,351,5,112,0,0,1979,1355,TA,10106,62,0,0,7,5,644,1940,1999,127500
2069,0,4,Gd,425,6,160,505,2,1960,2069,Gd,27650,313,0,0,7,7,585,1960,2007,242000
757,0,3,No,549,5,195,440,1,1999,1501,TA,2280,24,360,0,5,7,744,1999,1999,179400
1976,0,2,Gd,1350,4,626,908,2,2006,1976,Gd,14977,110,304,63,5,8,1976,2006,2007,440000
1563,0,3,No,33,6,1530,758,2,2007,1563,Gd,10206,78,468,99,5,8,1563,2007,2007,245000
572,539,2,No,0,1,572,288,1,1982,1111,TA,5700,69,0,0,7,7,572,1926,1950,116900
851,651,3,No,0,1,776,270,2,1931,1502,TA,7200,60,0,0,6,7,776,1931,2000,149000
1733,0,4,None,0,0,0,452,1,1955,1733,TA,13680,69,0,0,5,3,0,1955,1955,139600
1848,880,4,No,1410,6,438,706,3,2006,2728,Ex,20431,56,870,0,5,9,1848,2005,2006,437154
630,672,3,No,231,5,399,264,1,1972,1302,TA,1680,21,268,0,7,5,630,1972,1972,119500
1332,192,0,Gd,1258,6,74,586,3,1979,1524,Gd,23595,69,0,0,6,7,1332,1979,1979,260000
1120,468,4,None,0,0,0,680,3,1991,1588,TA,17120,80,0,59,4,4,0,1959,1959,134432
1125,0,2,No,0,1,1125,430,1,2007,1125,TA,8536,74,0,64,5,5,1125,2006,2007,155000
520,600,2,No,0,1,600,480,2,2005,1200,Gd,3180,30,0,166,5,7,600,2005,2005,151000
798,842,3,No,0,1,798,520,2,2004,1640,Gd,8366,65,0,45,5,6,798,2004,2004,173000
1223,904,3,No,1000,6,223,525,2,1994,2127,Gd,10944,81,448,132,5,7,1223,1994,1994,271000
972,0,2,No,680,5,292,240,1,1948,972,TA,8000,50,0,0,6,6,972,1948,2002,132000
1142,878,3,No,584,6,544,466,2,1995,2020,Gd,9828,80,0,155,5,8,1128,1995,1995,239500
1144,0,3,Av,739,4,405,596,1,1956,1144,TA,9571,68,0,0,6,5,1144,1956,1956,129000
1352,0,3,Av,300,4,468,288,1,1958,1352,Gd,6930,92,120,0,4,5,1062,1958,1958,130000
926,0,3,No,234,2,0,484,1,1974,1316,TA,5500,50,0,0,7,5,926,1929,2001,130000
1086,838,3,Av,956,6,130,592,2,1998,1924,Gd,12011,78,530,75,5,8,1086,1998,1998,280000
1164,0,3,No,1040,5,124,240,1,1950,1164,TA,10880,68,0,48,5,5,1164,1950,1950,125000
952,0,2,Mn,852,5,100,840,1,1988,952,TA,7350,60,0,0,7,5,952,1951,1951,139000
938,1215,4,No,259,2,425,0,0,1979,2358,TA,5250,50,0,54,5,8,684,1872,1987,122000
1680,0,3,No,808,6,72,540,3,1988,1680,Gd,21695,69,260,44,9,6,880,1988,2007,222000
1221,691,3,No,0,1,482,672,1,2003,1912,TA,10800,60,0,25,7,6,482,1905,2000,163000
1004,0,2,No,578,5,426,480,3,1970,1004,TA,11241,69,180,0,7,6,1004,1970,1970,149000
774,456,3,No,384,5,363,305,1,1946,1230,TA,4712,51,0,57,7,4,747,1946,1950,121600
1167,0,3,No,645,4,270,495,1,1972,1167,TA,8731,98,0,0,5,5,915,1920,1950,144000
1301,0,2,Mn,405,2,740,440,1,1965,1301,Fa,6911,60,0,0,5,5,1145,1924,1950,100000
1453,0,3,Gd,1082,6,371,445,2,1986,1453,Gd,5271,69,0,80,5,7,1453,1986,1986,190000
1601,0,3,Av,1358,6,223,670,2,2001,1601,Gd,11423,69,479,0,5,8,1581,2001,2002,272000
1588,0,3,Av,0,1,1588,825,2,2006,1588,Gd,10000,85,410,45,5,8,1588,2006,2006,227000
1095,0,2,Gd,513,5,75,264,2,1958,1095,TA,10382,75,105,0,5,6,588,1958,1958,140000
1050,0,3,No,915,3,135,368,1,1961,1050,TA,10659,69,0,319,6,5,1050,1961,1961,136500
960,0,3,No,520,3,440,432,3,1965,960,TA,10921,73,48,0,5,4,960,1965,1965,94750
1002,454,4,Mn,0,1,810,280,1,1954,1456,TA,7585,50,0,0,3,5,810,1948,1950,91500
1489,0,3,No,0,1,1489,462,2,1968,1489,Gd,9156,69,0,0,7,6,1489,1968,1968,185750
1726,0,3,No,1126,4,600,786,2,2007,1726,Ex,9416,79,205,138,5,7,1726,2007,2007,311872
1362,720,3,No,0,1,1362,484,1,2003,2082,Gd,11426,63,0,238,5,7,1362,2003,2003,200000
1339,0,3,No,1053,5,256,484,3,1990,1339,TA,8049,50,54,58,5,7,1309,1990,1990,180000
1310,1140,3,Mn,781,6,503,1069,3,1998,2450,Gd,16545,69,731,126,5,8,1284,1998,1998,340000
879,984,4,Av,0,1,879,660,3,2006,1863,Gd,14054,58,0,17,5,7,879,2006,2006,219210
768,0,2,Av,656,6,112,396,1,1988,768,TA,8445,70,0,0,7,5,768,1972,2007,133000
